YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2018,Q4,11,14,TR,GB,"Felixstowe, P",GB,GB,TR,TR,GB,CVEDP,No,Human Consumption,1440,576,/,/,Not satisfactory,Not satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,-,-,1. Re-Export,1. Absence/Invalid Certificate,2018-11-19,2018,Q4,11,19,1806,1806,/,/,-
2018,Q4,11,16,NZ,GB,"Southampton, P",GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,15230,12731,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-24,2018,Q4,11,24,4090000,4090000,Apis Mellifera,Apis Mellifera,-
2018,Q4,11,15,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-19,2018,Q4,11,19,3038990,03038990|03048100|03048910|16041991,Mugil Spp,Coregonus Spp|Merluccius Capensis|Mugil Spp|Salmo Salar,-
2018,Q4,11,15,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,1952,1847,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-19,2018,Q4,11,19,3048100,03038990|03048100|03048910|16041991,Salmo Salar,Coregonus Spp|Merluccius Capensis|Mugil Spp|Salmo Salar,-
2018,Q4,11,15,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-19,2018,Q4,11,19,3048910,03038990|03048100|03048910|16041991,Coregonus Spp,Coregonus Spp|Merluccius Capensis|Mugil Spp|Salmo Salar,-
2018,Q4,11,15,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-19,2018,Q4,11,19,16041991,03038990|03048100|03048910|16041991,Merluccius Capensis,Coregonus Spp|Merluccius Capensis|Mugil Spp|Salmo Salar,-
2018,Q4,11,15,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,1042,998,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-19,2018,Q4,11,19,3048910,03048910|03048990|16041991,Coregonus Spp,Coregonus Spp|Merluccius Capensis|Mugil Spp,-
2018,Q4,11,15,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-19,2018,Q4,11,19,3048990,03048910|03048990|16041991,Mugil Spp,Coregonus Spp|Merluccius Capensis|Mugil Spp,-
2018,Q4,11,15,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-11-19,2018,Q4,11,19,16041991,03048910|03048990|16041991,Merluccius Capensis,Coregonus Spp|Merluccius Capensis|Mugil Spp,-
2018,Q4,11,26,US,GB,Stansted,GB,GB,US,US,GB,CVEDP,No,Other,2,1,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Other,-,-,-,2018-11-26,2018,Q4,11,26,5119985,5119985,-,,-
