DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2020-04-16,London Gateway,United Kingdom,United Kingdom,United Kingdom,New Zealand,Honey,4090000,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-04-08,2020,Q2,4,8,Satisfactory,Satisfactory,44,Not Done,No,-,-,-,Human Consumption,-,-,2020-04-17,2020,Q2,April,17,29
2020-04-06,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3048210,Oncorhynchus Mykiss,Frozen,-,/,-,-,/,No,Human Consumption,2020-04-06,2020,Q2,4,6,Satisfactory,Satisfactory,40,Not Done,No,-,-,-,Human Consumption,-,-,2020-04-09,2020,Q2,April,9,34
2020-04-06,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3048910,Cyprinidae,Frozen,-,/,-,-,/,No,Human Consumption,2020-04-08,2020,Q2,4,8,Satisfactory,Satisfactory,3707,Not Done,No,-,-,-,Human Consumption,-,-,2020-04-09,2020,Q2,April,9,3567
2020-04-06,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3049921,Hypophthalmichthys (Aristichthys) Nobilis,Frozen,-,/,-,-,/,No,Human Consumption,2020-04-08,2020,Q2,4,8,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-04-09,2020,Q2,April,9,0
2020-05-08,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Thailand,Miscellaneous edible preparations,21039090,Stolephorus Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-04-29,2020,Q2,4,29,Satisfactory,Satisfactory,5392,Not Done,No,-,-,-,Human Consumption,-,-,2020-05-13,2020,Q2,May,13,4906
2020-05-19,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Thailand,Miscellaneous edible preparations,21039090,Stolephorus Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-04-29,2020,Q2,4,29,Satisfactory,Satisfactory,8088,Not Done,No,-,-,-,Human Consumption,-,-,2020-05-20,2020,Q2,May,20,7358
2020-04-29,London Gateway,United Kingdom,United Kingdom,United Kingdom,Mexico,Animal feed,230910,Ungulates,Ambient,-,/,-,-,/,No,Animal Feedingstuff,2020-04-29,2020,Q2,4,29,Satisfactory,Satisfactory,7140,Not Done,No,-,-,-,Animal Feedingstuff,-,-,2020-05-01,2020,Q2,May,1,5654
2020-04-29,London Gateway,United Kingdom,United Kingdom,United Kingdom,Mexico,Animal feed,230910,Ungulates,Ambient,-,/,-,-,/,No,Animal Feedingstuff,2020-04-29,2020,Q2,4,29,Satisfactory,Satisfactory,7140,Not Done,No,-,-,-,Animal Feedingstuff,-,-,2020-05-01,2020,Q2,May,1,5654
2020-04-25,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3054980,Otra Pesca,Ambient,-,/,-,-,/,No,Human Consumption,2020-04-27,2020,Q2,4,27,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,"10. Other, Create Rasff Notification",2020-05-01,2020,Q2,May,1,0
2020-04-25,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3054980,Otra Pesca,Ambient,-,/,-,-,/,No,Human Consumption,2020-04-27,2020,Q2,4,27,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,5. Id: Mis-Match With Documents,2020-05-01,2020,Q2,May,1,0
2020-04-25,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3054980,Otra Pesca,Ambient,-,/,-,-,/,No,Human Consumption,2020-04-27,2020,Q2,4,27,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,1. Absence/Invalid Certificate,2020-05-01,2020,Q2,May,1,0
2020-04-25,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3055985,Otra Pesca,Ambient,-,/,-,-,/,No,Human Consumption,2020-04-27,2020,Q2,4,27,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,"10. Other, Create Rasff Notification",2020-05-01,2020,Q2,May,1,0
2020-04-25,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3055985,Otra Pesca,Ambient,-,/,-,-,/,No,Human Consumption,2020-04-27,2020,Q2,4,27,Not satisfactory,Not satisfactory,2378,Not Done,No,-,-,-,-,2. Destruction,5. Id: Mis-Match With Documents,2020-05-01,2020,Q2,May,1,255
2020-04-25,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3055985,Otra Pesca,Ambient,-,/,-,-,/,No,Human Consumption,2020-04-27,2020,Q2,4,27,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,1. Absence/Invalid Certificate,2020-05-01,2020,Q2,May,1,0
2020-04-25,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3069590,Penaeus Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-04-27,2020,Q2,4,27,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,"10. Other, Create Rasff Notification",2020-05-01,2020,Q2,May,1,0
2020-04-25,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3069590,Penaeus Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-04-27,2020,Q2,4,27,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,5. Id: Mis-Match With Documents,2020-05-01,2020,Q2,May,1,0
2020-04-25,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3069590,Penaeus Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-04-27,2020,Q2,4,27,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,1. Absence/Invalid Certificate,2020-05-01,2020,Q2,May,1,0
2020-04-25,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Miscellaneous edible preparations,210690,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2020-04-28,2020,Q2,4,28,Not satisfactory,Not satisfactory,150,Not Done,No,-,-,-,-,2. Destruction,10. Other,2020-05-01,2020,Q2,May,1,145
2020-04-25,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Miscellaneous edible preparations,210690,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2020-04-28,2020,Q2,4,28,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,2. Non Approved Country,2020-05-01,2020,Q2,May,1,0
2020-04-11,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-04-07,2020,Q2,4,7,Satisfactory,Satisfactory,286,Not Done,No,-,-,-,Other,-,-,2020-04-14,2020,Q2,April,14,1
2020-04-03,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-04-01,2020,Q2,4,1,Satisfactory,Satisfactory,245,Not Done,No,-,-,-,Other,-,-,2020-04-09,2020,Q2,April,9,1
2020-04-20,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-04-16,2020,Q2,4,16,Satisfactory,Satisfactory,245,Not Done,No,-,-,-,Other,-,-,2020-04-24,2020,Q2,April,24,1
2020-04-27,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-04-22,2020,Q2,4,22,Satisfactory,Satisfactory,327,Not Done,No,-,-,-,Other,-,-,2020-04-27,2020,Q2,April,27,1
2020-05-02,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-04-29,2020,Q2,4,29,Satisfactory,Satisfactory,327,Not Done,No,-,-,-,Other,-,-,2020-05-02,2020,Q2,May,2,1
2020-04-01,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,Bangladesh,"Preparations of cereals, flour, starch or milk",1905,/,Ambient,-,/,-,-,/,No,Human Consumption,2020-04-06,2020,Q2,4,6,Not satisfactory,Not satisfactory,708,Not Satisfactory,No,-,-,-,-,2. Destruction,1. Absence/Invalid Certificate,2020-04-29,2020,Q2,April,29,648
2020-04-01,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,Bangladesh,"Preparations of cereals, flour, starch or milk",1905,/,Ambient,-,/,-,-,/,No,Human Consumption,2020-04-06,2020,Q2,4,6,Not satisfactory,Not satisfactory,0,Not Satisfactory,No,-,-,-,-,2. Destruction,2. Non Approved Country,2020-04-29,2020,Q2,April,29,0
2020-04-07,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042250,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-04-02,2020,Q2,4,2,Satisfactory,Satisfactory,13252,Not Done,No,-,-,-,Human Consumption,-,-,2020-04-09,2020,Q2,April,9,12383
