YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,LaboratoryTests2,Commodity,Commodity_List,Species,Species_List,CountryOfDestination,Motivation,LaboratoryTests3,SampleDate,Results2,SampleCount,LaboratoryTestConclusion,ReleasedDate
2017,Q2,6,13,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,6422.50,4200.00,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-08-01,2017,Q3,8,1,-,5119190,5119190,Invertebrata,Invertebrata,United Kingdom,-,-,,-,-,-,
2017,Q2,6,19,TH,GB,Felixstowe P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,20650.00,19053.84,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-08-03,2017,Q3,8,3,-,160232,160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,6,19,AU,GB,Southampton P,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,20905.50,19361.50,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-08-03,2017,Q3,8,3,-,2044250,2044250,Ovis Aries,Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q2,6,19,US,GB,London Gateway,GB,GB,US,United States,GB,CVEDP,No,Animal Feedingstuff,231.33,210.00,/,/,Not satisfactory,Satisfactory,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2017-08-01,2017,Q3,8,1,-,230910,230910,Ungulates,Ungulates,United Kingdom,-,-,,-,-,-,
2017,Q2,6,21,NZ,GB,Southampton P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,17388.19,16875.19,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-08-05,2017,Q3,8,5,-,2044290,02044290|02069099,Ovis Aries,Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q2,6,21,NZ,GB,Southampton P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,17388.19,16875.19,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-08-05,2017,Q3,8,5,-,2069099,02044290|02069099,Ovis Aries,Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q2,6,22,ID,GB,Felixstowe P,GB,GB,ID,Indonesia,GB,CVEDP,No,Human Consumption,8201.25,6682.50,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-08-02,2017,Q3,8,2,-,3048990,3048990,Etelis Spp,Etelis Spp,United Kingdom,-,-,,-,-,-,
2017,Q2,6,23,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,12160.00,9120.00,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-08-08,2017,Q3,8,8,-,230910,230910,-,,United Kingdom,-,-,,-,-,-,
2017,Q2,6,23,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,14825.00,11618.00,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-08-07,2017,Q3,8,7,-,230910,230910,-,,United Kingdom,-,-,,-,-,-,
2017,Q2,6,24,US,GB,Stansted,GB,GB,US,United States,GB,CVEDP,No,Human Consumption,725.74,700.00,/,/,Not satisfactory,Satisfactory,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,1. Absence/Invalid Certificate,2017-08-10,2017,Q3,8,10,-,21069098,21069098,-,,United Kingdom,-,-,,-,-,-,
2017,Q2,6,26,TH,GB,Felixstowe P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,23832.00,23040.00,/,/,Not satisfactory,Satisfactory,Satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,10. Other Create Rasff Notification,2017-08-04,2017,Q3,8,4,-,160232,160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,6,26,TH,GB,Felixstowe P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,23832.00,23040.00,/,/,Not satisfactory,Satisfactory,Satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,10. Other Create Rasff Notification,2017-08-04,2017,Q3,8,4,-,160232,160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,6,27,HK,GB,Felixstowe P,GB,GB,HK,Hong Kong,GB,CVEDP,No,Human Consumption,130.00,103.20,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-08-25,2017,Q3,8,25,-,2103,2103,-,,United Kingdom,-,-,,-,-,-,
2017,Q2,6,29,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,18800.10,13899.60,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-08-08,2017,Q3,8,8,-,230910,230910,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,6,30,BR,GB,Heathrow,GB,GB,BR,Brazil,GB,CVEDP,No,Human Consumption,26.00,24.00,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-08-16,2017,Q3,8,16,-,160250,160250,Bos Spp,Bos Spp,United Kingdom,-,-,,-,-,-,
2017,Q2,6,30,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,16992.00,13056.00,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-08-01,2017,Q3,8,1,-,230910,230910,-,,United Kingdom,-,-,,-,-,-,
