YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2018,Q3,8,13,US,GB,Stansted,GB,GB,US,US,GB,CVEDP,No,Animal Feedingstuff,6,3,/,/,Not satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2018-08-14,2018,Q3,8,14,230910,230910,-,,-
2018,Q3,7,13,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Technical Use,60,54,/,/,Not satisfactory,Not satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2018-08-22,2018,Q3,8,22,4090000,4090000,Invertebrata,Invertebrata,-
2018,Q3,8,7,AU,GB,"Felixstowe, P",GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-08-15,2018,Q3,8,15,20130,20130,Bos Taurus,Bos Taurus,Avermectins
2018,Q3,8,7,AU,GB,"Felixstowe, P",GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-08-15,2018,Q3,8,15,20130,20130,Bos Taurus,Bos Taurus,Benzimidazoles
2018,Q3,8,7,AU,GB,"Felixstowe, P",GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-08-15,2018,Q3,8,15,20130,20130,Bos Taurus,Bos Taurus,Beta-lactamics
2018,Q3,8,7,AU,GB,"Felixstowe, P",GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-08-15,2018,Q3,8,15,20130,20130,Bos Taurus,Bos Taurus,Chloramphenicol
2018,Q3,8,7,AU,GB,"Felixstowe, P",GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-08-15,2018,Q3,8,15,20130,20130,Bos Taurus,Bos Taurus,Clenbuterol
2018,Q3,8,7,AU,GB,"Felixstowe, P",GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-08-15,2018,Q3,8,15,20130,20130,Bos Taurus,Bos Taurus,coccidiostats
2018,Q3,8,7,AU,GB,"Felixstowe, P",GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-08-15,2018,Q3,8,15,20130,20130,Bos Taurus,Bos Taurus,Macrolides
2018,Q3,8,7,AU,GB,"Felixstowe, P",GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-08-15,2018,Q3,8,15,20130,20130,Bos Taurus,Bos Taurus,Nitromidazoles (group)
