DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2020-08-13,Stansted,United Kingdom,United Kingdom,United Kingdom,United States,Pork and pork products,160249,Suidae,Ambient,-,/,-,-,/,No,Human Consumption,2020-08-17,2020,Q3,8,17,Not satisfactory,Satisfactory,14,Not Done,No,-,-,-,-,2. Destruction,1. Absence/Invalid Certificate,2020-08-19,2020,Q3,August,19,13
2020-08-13,Stansted,United Kingdom,United Kingdom,United Kingdom,United States,Pork and pork products,160249,Suidae,Ambient,-,/,-,-,/,No,Human Consumption,2020-08-17,2020,Q3,8,17,Not satisfactory,Satisfactory,14,Not Done,No,-,-,-,-,2. Destruction,1. Absence/Invalid Certificate,2020-08-19,2020,Q3,August,19,13
2020-08-26,London Gateway,United Kingdom,United Kingdom,United Kingdom,Mexico,Animal feed,230910,Ungulates,Ambient,-,/,-,-,/,No,Animal Feedingstuff,2020-08-13,2020,Q3,8,13,Satisfactory,Satisfactory,6960,Satisfactory,No,-,-,-,Animal Feedingstuff,-,-,2020-08-28,2020,Q3,August,28,5331
2020-08-09,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-08-05,2020,Q3,8,5,Satisfactory,Satisfactory,367,Not Done,No,-,-,-,Other,-,-,2020-08-10,2020,Q3,August,10,1
2020-08-16,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-08-17,2020,Q3,8,17,Satisfactory,Satisfactory,286,Not Done,No,-,-,-,Other,-,-,2020-08-18,2020,Q3,August,18,1
2020-08-22,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-08-20,2020,Q3,8,20,Satisfactory,Satisfactory,163,Not Done,No,-,-,-,Other,-,-,2020-08-22,2020,Q3,August,22,1
2020-08-28,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-08-26,2020,Q3,8,26,Satisfactory,Satisfactory,286,Not Done,No,-,-,-,Other,-,-,2020-09-02,2020,Q3,September,2,1
2020-08-21,Stansted,United Kingdom,United Kingdom,United Kingdom,Canada,Semen,5119985,/,-,-,/,-,-,/,No,Other,2020-08-21,2020,Q3,8,21,Not satisfactory,Satisfactory,15,Not Done,No,-,-,-,-,1. Re-Export,1. Absence/Invalid Certificate,2020-08-25,2020,Q3,August,25,0
2020-08-20,London Gateway,United Kingdom,United Kingdom,United Kingdom,Peru,Fishery products,3072290,Pecten Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-24,2020,Q3,8,24,Satisfactory,Satisfactory,0,Satisfactory,Yes,Random,Satisfactory,Arsenic As,Human Consumption,-,-,2020-08-26,2020,Q3,August,26,0
2020-08-20,London Gateway,United Kingdom,United Kingdom,United Kingdom,Peru,Fishery products,3072290,Pecten Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-08-24,2020,Q3,8,24,Satisfactory,Satisfactory,8108,Satisfactory,Yes,Random,Satisfactory,Cadmium Cd,Human Consumption,-,-,2020-08-26,2020,Q3,August,26,7090
