YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2019,Q1,2,6,US,GB,Stansted,GB,GB,US,US,GB,CVEDP,No,Human Consumption,11,8,/,/,Not satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2019-02-06,2019,Q1,2,6,40410,40410,Bos Taurus,Bos Taurus,-
2018,Q4,12,20,NZ,GB,Heathrow,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,34,27,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-20,2018,Q4,12,20,4090000,04090000|04100000,Apis Melifera,Apis Melifera,-
2018,Q4,12,20,NZ,GB,Heathrow,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-20,2018,Q4,12,20,4100000,04090000|04100000,Apis Melifera,Apis Melifera,-
2018,Q4,12,19,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-19,2018,Q4,12,19,3038990,03038990|03048100|03048910|16041991,Mugil Spp,Coregonus Spp|Merluccius Capensis|Mugil Spp|Salmo Salar,-
2018,Q4,12,19,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-19,2018,Q4,12,19,3048100,03038990|03048100|03048910|16041991,Salmo Salar,Coregonus Spp|Merluccius Capensis|Mugil Spp|Salmo Salar,-
2018,Q4,12,19,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,3137,2904,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-19,2018,Q4,12,19,3048910,03038990|03048100|03048910|16041991,Coregonus Spp,Coregonus Spp|Merluccius Capensis|Mugil Spp|Salmo Salar,-
2018,Q4,12,19,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-19,2018,Q4,12,19,16041991,03038990|03048100|03048910|16041991,Merluccius Capensis,Coregonus Spp|Merluccius Capensis|Mugil Spp|Salmo Salar,-
2018,Q4,12,19,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,2062,1990,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-19,2018,Q4,12,19,3038990,03038990|03048910,Mugil Spp,Coregonus Spp|Mugil Spp,-
2018,Q4,12,19,US,GB,"Felixstowe, P",GB,GB,US,US,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-19,2018,Q4,12,19,3048910,03038990|03048910,Coregonus Spp,Coregonus Spp|Mugil Spp,-
2018,Q4,12,19,US,GB,Stansted,GB,GB,US,US,GB,CVEDP,No,Other,2,1,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Other,-,-,-,2018-12-19,2018,Q4,12,19,5119985,5119985,-,,-
2018,Q4,12,11,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,170,160,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-11,2018,Q4,12,11,20130,20130,Bos Taurus,Bos Taurus,-
2018,Q4,12,11,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,2340,2185,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-11,2018,Q4,12,11,20120,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q4,12,11,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-11,2018,Q4,12,11,20130,020120|020130,Bos Taurus,Bos Taurus,-
2019,Q1,1,3,TH,GB,"Southampton, P",GB,GB,TH,TH,GB,CVEDP,No,Human Consumption,2696,2453,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2019-01-03,2019,Q1,1,3,21039090,21039090,Stolephorus Spp,Stolephorus Spp,-
2019,Q1,1,12,TH,GB,"Southampton, P",GB,GB,TH,TH,GB,CVEDP,No,Human Consumption,8762,7972,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2019-01-12,2019,Q1,1,12,21039090,21039090,Stolephorus Spp,Stolephorus Spp,-
2018,Q4,12,10,US,GB,Manchester,GB,GB,US,US,GB,CVEDP,No,Other,408,10,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Other,-,-,-,2018-12-10,2018,Q4,12,10,5111000,5111000,Bos Taurus,Bos Taurus,-
2018,Q4,12,18,US,GB,Manchester,GB,GB,US,US,GB,CVEDP,No,Other,41,1,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Other,-,-,-,2018-12-18,2018,Q4,12,18,5111000,5111000,Bos Taurus,Bos Taurus,-
2018,Q4,12,16,CA,GB,Heathrow,GB,GB,CA,CA,GB,CVEDP,No,Human Consumption,2520,1910,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-16,2018,Q4,12,16,3063210,3063210,Homarus Americanus,Homarus Americanus,-
2018,Q4,12,15,PE,GB,London Gateway,GB,GB,PE,PE,GB,CVEDP,No,Human Consumption,14410,11885,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-15,2018,Q4,12,15,3079200,3079200,Argopecten Purpuratus,Argopecten Purpuratus,-
2018,Q4,12,12,CA,GB,Liverpool,GB,GB,CA,CA,GB,CVEDP,No,Human Consumption,8164,7398,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-12-12,2018,Q4,12,12,3038990,3038990,Anoplopoma Fimbria,Anoplopoma Fimbria,-
2019,Q1,1,10,CA,GB,Liverpool,GB,GB,CA,CA,GB,CVEDP,No,Human Consumption,2996,2721,/,/,Satisfactory,Not satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,-,-,1. Re-Export,5. Id: Mis-Match With Documents,2019-01-10,2019,Q1,1,10,3038990,3038990,Anoplopoma Fimbria,Anoplopoma Fimbria,-
