DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2019-12-20,Heathrow,United Kingdom,United Kingdom,United Kingdom,New Zealand,Honey,4090000,Apis Mellifera,Ambient,-,/,-,-,/,No,Human Consumption,2019-12-18,2019,Q4,12,18,Satisfactory,Satisfactory,56,Not Done,No,-,-,-,Human Consumption,-,-,2019-12-20,2019,Q4,December,20,45
2019-12-17,Heathrow,United Kingdom,United Kingdom,United Kingdom,New Zealand,Honey,4090000,Apis Mellifera,Ambient,-,/,-,-,/,No,Human Consumption,2019-12-16,2019,Q4,12,16,Satisfactory,Satisfactory,91,Not Done,No,-,-,-,Human Consumption,-,-,2019-12-18,2019,Q4,December,18,80
2019-12-19,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,Philippines,Fishery products,16041319,Sardinella Spp,Ambient,-,/,-,-,/,No,Human Consumption,2019-12-24,2019,Q4,12,24,Satisfactory,Satisfactory,20160,Not Done,No,-,-,-,Human Consumption,-,-,2019-12-29,2019,Q4,December,29,19152
2019-12-17,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20120,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-12-17,2019,Q4,12,17,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2019-12-18,2019,Q4,December,18,0
2019-12-17,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20130,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-12-17,2019,Q4,12,17,Satisfactory,Satisfactory,1445,Not Done,No,-,-,-,Human Consumption,-,-,2019-12-18,2019,Q4,December,18,1366
2019-12-10,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,India,Fishery products,3038990,Parupeneus Indicus,Frozen,-,/,-,-,/,No,Human Consumption,2019-12-09,2019,Q4,12,9,Satisfactory,Satisfactory,23100,Satisfactory,No,-,-,-,Human Consumption,-,-,2019-12-17,2019,Q4,December,17,19250
2019-12-10,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,India,Fishery products,3038990,Selaroides Leptolepis,Frozen,-,/,-,-,/,No,Human Consumption,2019-12-09,2019,Q4,12,9,Satisfactory,Satisfactory,0,Satisfactory,No,-,-,-,Human Consumption,-,-,2019-12-17,2019,Q4,December,17,0
2019-12-10,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,India,Fishery products,3038990,Siganus Canaliculatus,Frozen,-,/,-,-,/,No,Human Consumption,2019-12-09,2019,Q4,12,9,Satisfactory,Satisfactory,0,Satisfactory,No,-,-,-,Human Consumption,-,-,2019-12-17,2019,Q4,December,17,0
2019-12-10,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,India,Fishery products,3038990,Stolephorus Commersonnii,Frozen,-,/,-,-,/,No,Human Consumption,2019-12-09,2019,Q4,12,9,Satisfactory,Satisfactory,0,Satisfactory,No,-,-,-,Human Consumption,-,-,2019-12-17,2019,Q4,December,17,0
2019-12-10,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,India,Fishery products,3074940,Loligo Spp,Frozen,-,/,-,-,/,No,Human Consumption,2019-12-09,2019,Q4,12,9,Satisfactory,Satisfactory,0,Satisfactory,No,-,-,-,Human Consumption,-,-,2019-12-17,2019,Q4,December,17,0
