DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2020-02-21,Stansted,United Kingdom,United Kingdom,United Kingdom,United States,Milk,40590,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-25,2020,Q1,2,25,Not satisfactory,Satisfactory,6,Not Done,No,-,-,-,-,1. Re-Export,1. Absence/Invalid Certificate,2020-03-11,2020,Q1,3,11,3
2020-02-21,Stansted,United Kingdom,United Kingdom,United Kingdom,United States,Milk,40590,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-25,2020,Q1,2,25,Not satisfactory,Satisfactory,0,Not Done,No,-,-,-,-,1. Re-Export,2. Non Approved Country,2020-03-11,2020,Q1,3,11,0
2020-02-03,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Miscellaneous edible preparations,21069098,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-05,2020,Q1,2,5,Not satisfactory,Not satisfactory,50,Not Done,No,-,-,-,-,2. Destruction,1. Absence/Invalid Certificate,2020-02-06,2020,Q1,2,6,50
2020-02-03,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Miscellaneous edible preparations,21069098,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-05,2020,Q1,2,5,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,10. Other,2020-02-06,2020,Q1,2,6,0
2020-02-03,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Miscellaneous edible preparations,21069098,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-05,2020,Q1,2,5,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,2. Non Approved Country,2020-02-06,2020,Q1,2,6,0
2020-02-03,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Miscellaneous edible preparations,21069098,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-05,2020,Q1,2,5,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,4. Prohibited Product,2020-02-06,2020,Q1,2,6,0
2020-02-03,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3054980,Otra Pesca,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-05,2020,Q1,2,5,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,1. Absence/Invalid Certificate,2020-02-06,2020,Q1,2,6,0
2020-02-03,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3055985,Tilapia Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-05,2020,Q1,2,5,Not satisfactory,Not satisfactory,975,Not Done,No,-,-,-,-,2. Destruction,1. Absence/Invalid Certificate,2020-02-06,2020,Q1,2,6,105
2019-07-17,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Milk,401,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-18,2020,Q1,2,18,Not satisfactory,Not satisfactory,25,Not Done,No,-,-,-,-,2. Destruction,10. Other,2020-03-01,2020,Q1,3,1,25
2019-07-17,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Milk,401,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-18,2020,Q1,2,18,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,2. Non Approved Country,2020-03-01,2020,Q1,3,1,0
2020-02-17,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3056980,Otra Pesca,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-18,2020,Q1,2,18,Not satisfactory,Not satisfactory,979,Not Done,No,-,-,-,-,2. Destruction,1. Absence/Invalid Certificate,2020-02-21,2020,Q1,2,21,20
2020-02-01,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3048910,Coregonus Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-02-05,2020,Q1,2,5,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-12,2020,Q1,2,12,0
2020-02-01,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3049921,Hypophthalmichthys (Aristichthys) Nobilis,Frozen,-,/,-,-,/,No,Human Consumption,2020-02-05,2020,Q1,2,5,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-12,2020,Q1,2,12,0
2020-02-01,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3049999,Mugil Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-02-05,2020,Q1,2,5,Satisfactory,Satisfactory,4027,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-12,2020,Q1,2,12,3861
2020-02-19,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3048910,Coregonus Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-02-18,2020,Q1,2,18,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-21,2020,Q1,2,21,0
2020-02-19,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3048910,Cyprinidae,Frozen,-,/,-,-,/,No,Human Consumption,2020-02-18,2020,Q1,2,18,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-21,2020,Q1,2,21,0
2020-02-19,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3049999,Mugil Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-02-18,2020,Q1,2,18,Satisfactory,Satisfactory,2030,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-21,2020,Q1,2,21,1944
2020-02-06,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20120,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-06,2020,Q1,2,6,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-06,2020,Q1,2,6,0
2020-02-06,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20130,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2020-02-06,2020,Q1,2,6,Satisfactory,Satisfactory,1278,Not Done,No,-,-,-,Human Consumption,-,-,2020-02-06,2020,Q1,2,6,1205
2020-02-23,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Thailand,Miscellaneous edible preparations,21039090,Stolephorus Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-13,2020,Q1,2,13,Satisfactory,Satisfactory,2696,Not Done,No,-,-,-,Human Consumption,-,-,2020-03-02,2020,Q1,3,2,2453
2020-01-09,Manchester,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-02-06,2020,Q1,2,6,Satisfactory,Satisfactory,367,Not Done,No,-,-,-,Other,-,-,2020-02-10,2020,Q1,2,10,1
2020-02-15,Manchester,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-02-13,2020,Q1,2,13,Satisfactory,Satisfactory,82,Not Done,No,-,-,-,Other,-,-,2020-02-17,2020,Q1,2,17,2
2020-02-24,Manchester,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-02-21,2020,Q1,2,21,Satisfactory,Satisfactory,327,Not Done,No,-,-,-,Other,-,-,2020-02-25,2020,Q1,2,25,1
2020-02-10,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3054980,Otra Pesca,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-10,2020,Q1,2,10,Satisfactory,Satisfactory,0,Satisfactory,Yes,Re-Enforced,Satisfactory,Benzo-a-pyrene,Human Consumption,-,-,2020-02-18,2020,Q1,2,18,0
2020-02-10,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3054980,Sardinella Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-10,2020,Q1,2,10,Satisfactory,Satisfactory,482,Satisfactory,Yes,Re-Enforced,Satisfactory,Benzo-a-pyrene,Human Consumption,-,-,2020-02-18,2020,Q1,2,18,414
2020-02-10,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3054980,Thunnus Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-10,2020,Q1,2,10,Satisfactory,Satisfactory,0,Satisfactory,Yes,Re-Enforced,Satisfactory,Benzo-a-pyrene,Human Consumption,-,-,2020-02-18,2020,Q1,2,18,0
2020-02-10,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3054980,Tilapia Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-10,2020,Q1,2,10,Satisfactory,Satisfactory,0,Satisfactory,Yes,Re-Enforced,Satisfactory,Benzo-a-pyrene,Human Consumption,-,-,2020-02-18,2020,Q1,2,18,0
2020-02-10,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3055985,Caranx Hippos,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-10,2020,Q1,2,10,Satisfactory,Satisfactory,0,Satisfactory,Yes,Re-Enforced,Satisfactory,Benzo-a-pyrene,Human Consumption,-,-,2020-02-18,2020,Q1,2,18,0
2020-02-10,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Fishery products,3055985,Tilapia Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-02-10,2020,Q1,2,10,Satisfactory,Satisfactory,0,Satisfactory,Yes,Re-Enforced,Satisfactory,Benzo-a-pyrene,Human Consumption,-,-,2020-02-18,2020,Q1,2,18,0
