DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2020-01-02,Heathrow,United Kingdom,United Kingdom,United Kingdom,New Zealand,Honey,4090000,Apis Mellifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-01-02,2020,Q1,1,2,Satisfactory,Satisfactory,21,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-02,2020,Q1,January,2,15
2020-01-06,Stansted,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5119985,/,-,-,/,-,-,/,No,Other,2020-01-06,2020,Q1,1,6,Not satisfactory,Satisfactory,1,Not Done,No,-,-,-,-,2. Destruction,1. Absence/Invalid Certificate,2020-01-06,2020,Q1,January,6,0
2020-01-13,Manchester,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-01-10,2020,Q1,1,10,Satisfactory,Satisfactory,408,Not Done,No,-,-,-,Other,-,-,2020-01-13,2020,Q1,January,13,10
2020-01-16,Manchester,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-01-14,2020,Q1,1,14,Satisfactory,Satisfactory,408,Not Done,No,-,-,-,Other,-,-,2020-01-20,2020,Q1,January,20,1
2020-01-31,Manchester,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-01-29,2020,Q1,1,29,Satisfactory,Satisfactory,408,Not Done,No,-,-,-,Other,-,-,2020-02-03,2020,Q1,February,3,10
2020-01-15,Stansted,United Kingdom,United Kingdom,United Kingdom,United States,Bovine meat and bovine meat products,160250,Bos Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-01-21,2020,Q1,1,21,Not satisfactory,Satisfactory,6,Not Done,No,-,-,-,-,2. Destruction,1. Absence/Invalid Certificate,2020-01-21,2020,Q1,January,21,6
2020-01-23,Liverpool,United Kingdom,United Kingdom,United Kingdom,Canada,Fishery products,3061699,Pandalus Spp,Frozen,-,/,-,-,/,No,Human Consumption,2020-01-16,2020,Q1,1,16,Satisfactory,Satisfactory,1905,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-01-27,2020,Q1,January,27,1524
2020-01-23,Liverpool,United Kingdom,United Kingdom,United Kingdom,Canada,Fishery products,3038990,Anoplopoma Fimbria,Frozen,-,/,-,-,/,No,Human Consumption,2020-01-16,2020,Q1,1,16,Satisfactory,Satisfactory,2146,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-01-27,2020,Q1,January,27,1950
2020-01-23,Liverpool,United Kingdom,United Kingdom,United Kingdom,Canada,Fishery products,3038990,Anoplopoma Fimbria,Frozen,-,/,-,-,/,No,Human Consumption,2020-01-16,2020,Q1,1,16,Satisfactory,Satisfactory,7983,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-27,2020,Q1,January,27,7258
2020-01-07,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042230,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-01-06,2020,Q1,1,6,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-08,2020,Q1,January,8,0
2020-01-07,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042250,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-01-06,2020,Q1,1,6,Satisfactory,Satisfactory,25915,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-08,2020,Q1,January,8,24202
2020-01-07,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042300,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-01-06,2020,Q1,1,6,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-08,2020,Q1,January,8,0
2020-01-07,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042230,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-01-06,2020,Q1,1,6,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-08,2020,Q1,January,8,0
2020-01-07,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042250,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-01-06,2020,Q1,1,6,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-08,2020,Q1,January,8,0
2020-01-07,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042300,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-01-06,2020,Q1,1,6,Satisfactory,Satisfactory,26918,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-08,2020,Q1,January,8,25215
2020-01-14,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042230,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-01-06,2020,Q1,1,6,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-20,2020,Q1,January,20,0
2020-01-14,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042250,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-01-06,2020,Q1,1,6,Satisfactory,Satisfactory,25306,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-20,2020,Q1,January,20,23721
2020-01-14,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042290,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-01-06,2020,Q1,1,6,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-20,2020,Q1,January,20,0
2020-01-14,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042300,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-01-06,2020,Q1,1,6,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-20,2020,Q1,January,20,0
2020-01-14,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042230,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-01-06,2020,Q1,1,6,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-20,2020,Q1,January,20,0
2020-01-14,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042250,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-01-06,2020,Q1,1,6,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-20,2020,Q1,January,20,0
2020-01-14,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042290,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-01-06,2020,Q1,1,6,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-20,2020,Q1,January,20,0
2020-01-14,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042300,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-01-06,2020,Q1,1,6,Satisfactory,Satisfactory,24367,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-20,2020,Q1,January,20,22810
2020-01-18,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Sheep meat,2042230,Ovis Aries,Chilled,-,/,-,-,/,No,Human Consumption,2020-01-06,2020,Q1,1,6,Satisfactory,Satisfactory,24829,Not Done,No,-,-,-,Human Consumption,-,-,2020-01-20,2020,Q1,January,20,23171
