YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,LaboratoryTests2,Commodity,Commodity_List,Species,Species_List,CountryOfDestination,Motivation,LaboratoryTests3,SampleDate,Results2,SampleCount,LaboratoryTestConclusion,ReleasedDate
2017,Q2,4,5,PK,GB,Felixstowe P,GB,GB,PK,Pakistan,GB,CVEDP,No,Technical Use,16040.00,16000.00,/,/,Not satisfactory,Satisfactory,Satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,10. Other,2017-07-04,2017,Q3,7,4,-,5069000,5069000,Bovidae,Bovidae,United Kingdom,-,-,,-,-,-,
2017,Q2,4,5,PK,GB,Felixstowe P,GB,GB,PK,Pakistan,GB,CVEDP,No,Technical Use,16040.00,16000.00,/,/,Not satisfactory,Satisfactory,Satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,2. Non Approved Country,2017-07-04,2017,Q3,7,4,-,5069000,5069000,Bovidae,Bovidae,United Kingdom,-,-,,-,-,-,
2017,Q2,4,7,PH,GB,Stansted,GB,GB,PH,Philippines,GB,CVEDP,No,Human Consumption,0.90,0.74,/,/,Not satisfactory,Not satisfactory,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,5. Id: Mis-Match With Documents,2017-07-06,2017,Q3,7,6,-,16041438,16041438,Thunnus Albacares,Thunnus Albacares,United Kingdom,-,-,,-,-,-,
2017,Q2,4,25,TH,GB,Southampton P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,21359.00,19344.00,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-07-07,2017,Q3,7,7,-,160232,160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,5,16,SG,GB,Stansted,GB,GB,SG,Singapore,GB,CVEDP,No,Animal Feedingstuff,21.60,20.00,/,/,Not satisfactory,Satisfactory,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2017-07-12,2017,Q3,7,12,-,230910,230910,-,,United Kingdom,-,-,,-,-,-,
2017,Q2,5,22,TH,GB,Felixstowe P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,23600.00,22800.00,/,/,Satisfactory,Not satisfactory,Satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,5. Id: Mis-Match With Documents,2017-07-20,2017,Q3,7,20,-,2109939,2109939,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,5,23,TH,GB,Southampton P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,20318.88,17888.38,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-07-07,2017,Q3,7,7,-,160232,160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,5,24,TH,GB,Felixstowe P,GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,11068.26,6907.68,/,/,Satisfactory,Not satisfactory,Not satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,7. Physical Hygiene Failure,2017-07-03,2017,Q3,7,3,-,160232,160232,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q2,5,24,IN,GB,Felixstowe P,GB,GB,IN,India,GB,CVEDP,No,Animal Feedingstuff,2352.00,2000.00,/,/,Not satisfactory,Not satisfactory,Not satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,7. Physical Hygiene Failure,2017-07-17,2017,Q3,7,17,-,230910,230910,Ungulates,Ungulates,United Kingdom,-,-,,-,-,-,
2017,Q2,5,24,IN,GB,Felixstowe P,GB,GB,IN,India,GB,CVEDP,No,Animal Feedingstuff,2352.00,2000.00,/,/,Not satisfactory,Not satisfactory,Not satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2017-07-17,2017,Q3,7,17,-,230910,230910,Ungulates,Ungulates,United Kingdom,-,-,,-,-,-,
2017,Q2,5,24,IN,GB,Felixstowe P,GB,GB,IN,India,GB,CVEDP,No,Animal Feedingstuff,2352.00,2000.00,/,/,Not satisfactory,Not satisfactory,Not satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,9. Micro Biological Contamination,2017-07-17,2017,Q3,7,17,-,230910,230910,Ungulates,Ungulates,United Kingdom,-,-,,-,-,-,
2017,Q2,5,25,US,GB,Stansted,GB,GB,CO,United States,GB,CVEDP,No,Human Consumption,9.07,8.00,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,2. Destruction,-,2017-07-04,2017,Q3,7,4,-,350300,350300,Mammalia,Mammalia,United Kingdom,-,-,,-,-,-,
2017,Q2,5,26,NZ,GB,Felixstowe P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,12144.09,11717.01,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-07-01,2017,Q3,7,1,-,2044250,2044250,Ovis Aries,Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q2,5,26,NZ,GB,Southampton P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,13071.17,12665.42,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-07-03,2017,Q3,7,3,-,2044290,2044290,Ovis Aries,Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q2,5,26,NZ,GB,Felixstowe P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,12421.17,11993.69,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-07-01,2017,Q3,7,1,-,2044250,2044250,Ovis Aries,Ovis Aries,United Kingdom,-,-,,-,-,-,
