YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2018,Q2,6,29,RU,GB,"Grimsby-Immingham, P",GB,GB,RU,Russian Federation,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-07-04,2018,Q3,7,4,3047190,03047190|03047200,Gadus Morhua,Gadus (Melanogrammus) Aeglefinus|Gadus Morhua,-
2018,Q2,6,29,RU,GB,"Grimsby-Immingham, P",GB,GB,RU,Russian Federation,GB,CVEDP,No,Human Consumption,19516,17410,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-07-04,2018,Q3,7,4,3047200,03047190|03047200,Gadus (Melanogrammus) Aeglefinus,Gadus (Melanogrammus) Aeglefinus|Gadus Morhua,-
2018,Q2,6,25,US,GB,"Southampton, P",GB,GB,US,United States,GB,CVEDP,No,Human Consumption,37712,29241,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-07-05,2018,Q3,7,5,16041100,16041100,Onchorhynchus Gorbusha,Onchorhynchus Gorbusha,-
2018,Q2,6,25,US,GB,"Southampton, P",GB,GB,US,United States,GB,CVEDP,No,Human Consumption,18856,14620,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-07-05,2018,Q3,7,5,16041100,16041100,Onchorhynchus Gorbusha,Onchorhynchus Gorbusha,-
2018,Q2,6,26,US,GB,London Gateway,GB,GB,US,United States,GB,CVEDP,No,Human Consumption,2165,2134,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-07-02,2018,Q3,7,2,3048910,03048910|03048990|03049921,Coregonus Spp,Coregonus Spp|Hypophthalmichthys Molitrix|Mugil Spp,-
2018,Q2,6,26,US,GB,London Gateway,GB,GB,US,United States,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-07-02,2018,Q3,7,2,3048990,03048910|03048990|03049921,Mugil Spp,Coregonus Spp|Hypophthalmichthys Molitrix|Mugil Spp,-
2018,Q2,6,26,US,GB,London Gateway,GB,GB,US,United States,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-07-02,2018,Q3,7,2,3049921,03048910|03048990|03049921,Hypophthalmichthys Molitrix,Coregonus Spp|Hypophthalmichthys Molitrix|Mugil Spp,-
2018,Q3,7,14,US,GB,"Felixstowe, P",GB,GB,US,United States,GB,CVEDP,No,Human Consumption,43,37,/,/,Not satisfactory,Not satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,2. Destruction,1. Absence/Invalid Certificate,2018-07-24,2018,Q3,7,24,16041390,16041390,Sardina Pilchardus,Sardina Pilchardus,-
2018,Q3,7,14,US,GB,"Felixstowe, P",GB,GB,US,United States,GB,CVEDP,No,Human Consumption,0,0,/,/,Not satisfactory,Not satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,2. Destruction,6. Id: Health Mark Error,2018-07-24,2018,Q3,7,24,16041390,16041390,Sardina Pilchardus,Sardina Pilchardus,-
2018,Q3,7,3,AU,GB,Heathrow,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-07-05,2018,Q3,7,5,20120,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q3,7,3,AU,GB,Heathrow,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,1148,1081,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-07-05,2018,Q3,7,5,20130,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q3,7,3,AU,GB,Heathrow,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-07-04,2018,Q3,7,4,20120,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q3,7,3,AU,GB,Heathrow,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,4926,4635,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-07-04,2018,Q3,7,4,20130,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q3,7,3,AU,GB,Heathrow,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,227,212,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-07-04,2018,Q3,7,4,20130,20130,Bos Taurus,Bos Taurus,-
2018,Q3,7,3,AU,GB,Manchester,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,2475,2357,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-07-03,2018,Q3,7,3,20130,20130,Bos Taurus,Bos Taurus,-
