DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2020-07-30,Heathrow,United Kingdom,United Kingdom,United Kingdom,Turkey,"Preparations of cereals, flour, starch or milk",1905,/,Frozen,-,/,-,-,/,No,Human Consumption,2020-07-29,2020,Q3,7,29,Satisfactory,Not satisfactory,14,/,No,-,-,-,-,-,5. Id: Mis-Match With Documents,2020-07-31,2020,Q3,July,31,11
2020-07-30,Heathrow,United Kingdom,United Kingdom,United Kingdom,Turkey,"Preparations of cereals, flour, starch or milk",1905,/,Frozen,-,/,-,-,/,No,Human Consumption,2020-07-29,2020,Q3,7,29,Satisfactory,Not satisfactory,0,/,No,-,-,-,-,-,10. Other,2020-07-31,2020,Q3,July,31,0
2020-07-14,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3049999,Salmo Salar,Frozen,-,/,-,-,/,No,Human Consumption,2020-07-13,2020,Q3,7,13,Not satisfactory,Satisfactory,125,Reduced checks regime,No,-,-,-,-,2. Destruction,3. Non Approved Establishment,2020-07-21,2020,Q3,July,21,109
2020-07-14,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,United States,Fishery products,3048910,Cyprinidae,Frozen,-,/,-,-,/,No,Human Consumption,2020-07-13,2020,Q3,7,13,Satisfactory,Satisfactory,4900,Reduced checks regime,No,-,-,-,Human Consumption,-,-,2020-07-26,2020,Q3,July,26,4768
2020-07-13,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20120,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2020-07-13,2020,Q3,7,13,Satisfactory,Satisfactory,0,Reduced checks regime,No,-,-,-,Human Consumption,-,-,2020-07-13,2020,Q3,July,13,0
2020-07-13,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20130,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2020-07-13,2020,Q3,7,13,Satisfactory,Satisfactory,789,Reduced checks regime,No,-,-,-,Human Consumption,-,-,2020-07-13,2020,Q3,July,13,747
2020-07-20,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Thailand,Miscellaneous edible preparations,21039090,Stolephorus Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-07-06,2020,Q3,7,6,Satisfactory,Satisfactory,4044,Reduced checks regime,No,-,-,-,Human Consumption,-,-,2020-07-21,2020,Q3,July,21,3679
2020-07-08,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-07-03,2020,Q3,7,3,Satisfactory,Satisfactory,163,Reduced checks regime,No,-,-,-,Other,-,-,2020-07-08,2020,Q3,July,8,1
2020-07-11,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-07-07,2020,Q3,7,7,Satisfactory,Satisfactory,163,Reduced checks regime,No,-,-,-,Other,-,-,2020-07-11,2020,Q3,July,11,1
2020-07-18,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-07-17,2020,Q3,7,17,Satisfactory,Satisfactory,286,Reduced checks regime,No,-,-,-,Other,-,-,2020-07-20,2020,Q3,July,20,1
