YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,LaboratoryTests2,Commodity,Commodity_List,Species,Species_List,CountryOfDestination,Motivation,LaboratoryTests3,SampleDate,Results2,SampleCount,LaboratoryTestConclusion,ReleasedDate
2017,Q1,3,28,ZA,GB,London Gateway,GB,GB,ZA,South Africa,GB,CVEDP,No,Human Consumption,7.2,7,/,/,notsatisfactory,notsatisfactory,notdone,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2017-06-07,2017,Q2,6,7,-,00001806,00001806,/,/,United Kingdom,-,-,,-,-,-,
2017,Q1,3,28,ZA,GB,London Gateway,GB,GB,ZA,South Africa,GB,CVEDP,No,Human Consumption,3.9,3.75,/,/,notsatisfactory,notsatisfactory,notdone,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2017-06-07,2017,Q2,6,7,-,00002103,00002103,-,,United Kingdom,-,-,,-,-,-,
2017,Q1,3,28,ZA,GB,London Gateway,GB,GB,ZA,South Africa,GB,CVEDP,No,Human Consumption,9,9,/,/,notsatisfactory,notsatisfactory,notdone,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2017-06-07,2017,Q2,6,7,-,00002104,00002104,-,,United Kingdom,-,-,,-,-,-,
2017,Q1,3,29,ZA,GB,London Gateway,GB,GB,ZA,South Africa,GB,CVEDP,No,Human Consumption,4,3.88,/,/,notsatisfactory,notsatisfactory,notdone,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2017-06-07,2017,Q2,6,7,-,00210610,00210610,-,,United Kingdom,-,-,,-,-,-,
2017,Q1,3,29,ZA,GB,London Gateway,GB,GB,ZA,South Africa,GB,CVEDP,No,Human Consumption,40.63,39.6,/,/,notsatisfactory,notsatisfactory,notdone,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2017-06-07,2017,Q2,6,7,-,00040520,00040520,Bos Taurus,Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q2,4,20,TR,GB,Felixstowe P,GB,GB,TR,Turkey,GB,CVEDP,No,Human Consumption,10498,8948.64,/,/,notsatisfactory,notsatisfactory,satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,1. Absence/Invalid Certificate,2017-06-16,2017,Q2,6,16,-,00190230,00190230,-,,United Kingdom,-,-,,-,-,-,
2017,Q2,4,21,NG,GB,Tilbury P,GB,GB,NG,Nigeria,GB,CVEDP,No,Human Consumption,630,576,/,/,notsatisfactory,notsatisfactory,notdone,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,1. Absence/Invalid Certificate,2017-06-13,2017,Q2,6,13,-,00002103,00002103,-,,United Kingdom,-,-,,-,-,-,
2017,Q2,4,22,VE,GB,Heathrow,BE,BE,VE,Venezuela,BE,CVEDP,No,Human Consumption,5.6,5.6,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2017-06-30,2017,Q2,6,30,-,03038990,03038990,Carangidae,Carangidae,Belgium,-,-,,-,-,-,
2017,Q2,4,28,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,6562.5,4200,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-06-13,2017,Q2,6,13,-,05119190,05119190,Invertebrata,Invertebrata,United Kingdom,-,-,,-,-,-,
2017,Q2,4,28,KR,GB,Felixstowe P,GB,GB,KR,Korea Republic Of,GB,CVEDP,No,Human Consumption,2817.6,1912,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-06-09,2017,Q2,6,9,-,00190230,00190230,-,,United Kingdom,-,-,,-,-,-,
