YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2018,Q2,6,3,AU,GB,Heathrow,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,3361,3158,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-04,2018,Q2,6,4,20130,20130,Bos Taurus,Bos Taurus,-
2018,Q2,6,4,AU,GB,Manchester,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,2828,2576,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-04,2018,Q2,6,4,20130,20130,Bos Taurus,Bos Taurus,-
2018,Q2,6,10,AU,GB,Heathrow,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-12,2018,Q2,6,12,20120,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q2,6,10,AU,GB,Heathrow,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,224,205,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-12,2018,Q2,6,12,20130,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q2,6,10,AU,GB,Heathrow,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,4932,4649,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-12,2018,Q2,6,12,20120,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q2,6,10,AU,GB,Heathrow,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-12,2018,Q2,6,12,20130,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q2,6,22,AU,GB,Heathrow,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-26,2018,Q2,6,26,20120,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q2,6,22,AU,GB,Heathrow,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,326,305,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-26,2018,Q2,6,26,20130,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q2,6,22,AU,GB,Heathrow,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-26,2018,Q2,6,26,20120,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q2,6,22,AU,GB,Heathrow,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,3109,2938,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-26,2018,Q2,6,26,20130,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q2,6,14,NZ,GB,London Gateway,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,21423,20246,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-23,2018,Q2,6,23,4090000,4090000,Apis Melifera,Apis Melifera,-
2018,Q2,6,5,TH,GB,"Southampton, P",GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,1348,1226,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-16,2018,Q2,6,16,21039090,21039090,Stolephorus Spp,Stolephorus Spp,-
2018,Q2,6,1,IN,GB,"Felixstowe, P",GB,GB,IN,India,GB,CVEDP,No,Human Consumption,24000,20000,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-05,2018,Q2,6,5,3074338,3074338,Loligo Duvauceli,Loligo Duvauceli,-
2018,Q2,6,14,MX,GB,London Gateway,GB,GB,MX,Mexico,GB,CVEDP,No,Animal Feedingstuff,6355,4869,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Animal Feedingstuff,-,-,-,2018-06-19,2018,Q2,6,19,230910,230910,Ungulates,Ungulates,-
2018,Q2,5,31,US,GB,Manchester,GB,GB,US,United States,GB,CVEDP,No,Other,408,10,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Other,-,-,-,2018-06-05,2018,Q2,6,5,5111000,5111000,Bos Taurus,Bos Taurus,-
2018,Q2,6,6,US,GB,Manchester,GB,GB,US,United States,GB,CVEDP,No,Other,347,9,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Other,-,-,-,2018-06-08,2018,Q2,6,8,5111000,5111000,Bos Taurus,Bos Taurus,-
2018,Q2,6,8,US,GB,Manchester,GB,GB,US,United States,GB,CVEDP,No,Other,231,6,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Other,-,-,-,2018-06-11,2018,Q2,6,11,5111000,5111000,Bos Taurus,Bos Taurus,-
2018,Q2,6,15,US,GB,Manchester,GB,GB,US,United States,GB,CVEDP,No,Other,408,10,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Other,-,-,-,2018-06-18,2018,Q2,6,18,5111000,5111000,Bos Taurus,Bos Taurus,-
2018,Q2,6,1,GH,GB,Heathrow,/,/,GH,Ghana,/,CVEDP,No,-,989,600,/,/,Satisfactory,/,Not Done,No,-,-,-,/,-,/,-,/,/,-,-,-,-,2018-06-01,2018,Q2,6,1,3054200,03054200|03054980|03055985,Clupea Harengus,Clupea Harengus|Lutjanidae|Otra Pesca|Tilapia Spp,-
2018,Q2,6,1,GH,GB,Heathrow,/,/,GH,Ghana,/,CVEDP,No,-,0,0,/,/,Satisfactory,/,Not Done,No,-,-,-,/,-,/,-,/,/,-,-,-,-,2018-06-01,2018,Q2,6,1,3054980,03054200|03054980|03055985,Lutjanidae,Clupea Harengus|Lutjanidae|Otra Pesca|Tilapia Spp,-
2018,Q2,6,1,GH,GB,Heathrow,/,/,GH,Ghana,/,CVEDP,No,-,0,0,/,/,Satisfactory,/,Not Done,No,-,-,-,/,-,/,-,/,/,-,-,-,-,2018-06-01,2018,Q2,6,1,3054980,03054200|03054980|03055985,Tilapia Spp,Clupea Harengus|Lutjanidae|Otra Pesca|Tilapia Spp,-
2018,Q2,6,1,GH,GB,Heathrow,/,/,GH,Ghana,/,CVEDP,No,-,0,0,/,/,Satisfactory,/,Not Done,No,-,-,-,/,-,/,-,/,/,-,-,-,-,2018-06-01,2018,Q2,6,1,3055985,03054200|03054980|03055985,Otra Pesca,Clupea Harengus|Lutjanidae|Otra Pesca|Tilapia Spp,-
2018,Q2,5,3,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,14540,13824,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-09,2018,Q2,6,9,20130,20130,Bos Taurus,Bos Taurus,-
2018,Q2,5,22,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,19544,19040,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-03,2018,Q2,6,3,2069099,2069099,Ovis Aries,Ovis Aries,-
2018,Q2,5,22,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,14384,13835,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-03,2018,Q2,6,3,2044250,2044250,Ovis Aries,Ovis Aries,-
2018,Q2,5,22,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,24721,23165,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-03,2018,Q2,6,3,2042210,02042210|02042230|02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q2,5,22,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-03,2018,Q2,6,3,2042230,02042210|02042230|02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q2,5,22,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-03,2018,Q2,6,3,2042250,02042210|02042230|02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q2,5,22,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-03,2018,Q2,6,3,2042300,02042210|02042230|02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q2,5,22,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-04,2018,Q2,6,4,2042230,02042230|02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q2,5,22,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,22415,20948,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-04,2018,Q2,6,4,2042250,02042230|02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q2,5,22,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-04,2018,Q2,6,4,2042300,02042230|02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q2,5,22,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-04,2018,Q2,6,4,2042230,02042230|02042250|02042300,Ovis Aries,Ovis Aries,-
2018,Q2,5,22,NZ,GB,"Felixstowe, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-06-04,2018,Q2,6,4,2042250,02042230|02042250|02042300,Ovis Aries,Ovis Aries,-
