YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,LaboratoryTests2,Commodity,Commodity_List,Species,Species_List,CountryOfDestination,Motivation,LaboratoryTests3,SampleDate,Results2,SampleCount,LaboratoryTestConclusion,ReleasedDate
2017,Q1,1,9,BR,GB,Belfast,AT,AT,BR,Brazil,IE,CVEDP,No,Human Consumption,24763.2,23100,/,/,satisfactory,satisfactory,notsatisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,7. Physical Hygiene Failure,2017-03-02,2017,Q1,3,2,-,00160232,00160232,Aves,Aves,Ireland,-,-,,-,-,-,
2017,Q1,1,16,BD,GB,Felixstowe P,GB,GB,BD,Bangladesh,GB,CVEDP,No,Human Consumption,22250,9534,/,/,satisfactory,satisfactory,satisfactory,Yes,Suspicion,Not Satisfactory,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,8. Chemical Contamination,2017-03-22,2017,Q1,3,22,Yes,03061799,03061799,Macrobrachium Rosenbergii,Macrobrachium Rosenbergii,United Kingdom,Suspicion,Nitrofurans,2017-01-16,SEM @ 7.7 ?g/kg,1,Not Satisfactory,2017-01-23
2017,Q1,1,19,FJ,GB,Felixstowe P,GB,GB,FJ,Fiji,GB,CVEDP,No,Human Consumption,30,25,/,/,notsatisfactory,notsatisfactory,satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2017-03-23,2017,Q1,3,23,-,00190230,00190230,-,,United Kingdom,-,-,,-,-,-,
2017,Q1,1,19,ID,GB,Southampton P,GB,GB,ID,Indonesia,GB,CVEDP,No,Human Consumption,24563.56,20000,/,/,notsatisfactory,notsatisfactory,notsatisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,7. Physical Hygiene Failure,2017-03-10,2017,Q1,3,10,-,03061792,03061792,Penaeus Vannamei,Penaeus Vannamei,United Kingdom,-,-,,-,-,-,
2017,Q1,1,23,AU,GB,Southampton P,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,15326.05,15066.51,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-03-24,2017,Q1,3,24,-,02044290,02044290|02044290,Ovis Aries,Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q1,1,24,NZ,GB,Southampton P,AT,AT,NZ,New Zealand,GB,CVEDP,No,Human Consumption,12734.39,11996.41,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-03-03,2017,Q1,3,3,-,02044250,02044250|02044250|02044390,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q1,1,24,NZ,GB,Southampton P,AT,AT,NZ,New Zealand,GB,CVEDP,No,Human Consumption,12734.39,11996.41,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-03-03,2017,Q1,3,3,-,02044390,02044250|02044250|02044390,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q1,1,25,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,294,180,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-03-06,2017,Q1,3,6,-,00230910,00230910,Aves,Aves,United Kingdom,-,-,,-,-,-,
2017,Q1,1,25,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,18722,12432,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-03-06,2017,Q1,3,6,-,00230910,230910|230910,Aves,Aves|Pesca,United Kingdom,-,-,,-,-,-,
2017,Q1,1,25,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,18722,12432,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-03-06,2017,Q1,3,6,-,00230910,230910|230910,Pesca,Aves|Pesca,United Kingdom,-,-,,-,-,-,
