"DateOfArrivalAtBIP","BorderInspectionPost","EntryBIPCountry","ConsigneeCountry","ImporterCountry","CountryofOrigin","CommodityGroup","CommodityCode","Species","Temperature","TranshipmentBIPCountry","TranshipmentBIP","TranshipmentTo3rdCountry","To3rdCountry","TransitExitBIP","ForReImport","ForInternalMarket","DateofDeclaration","YearofDeclaration","QuarterofDeclaration","MonthofDeclaration","DayofDeclaration","DocumentaryCheck","IdentityCheck","TotalGrossWeightKg","PhysicalCheck","LaboratoryTestsPerformed","LaboratoryTestsMotivation","LaboratoryTestConclusion","LaboratoryTestTranslation","AcceptableforInternal Market","Notacceptable","RefusalReasonCodeList","DateofDecision","YearofDecision","QuarterofDecision","MonthofDecision","DayofDecision","TotalNetWeightkg"
"18/04/2019","London Gateway","United Kingdom","United Kingdom","United Kingdom","New Zealand","Fishery products","03071900","Crassostrea Gigas","Ambient","-","/","-","-","-","No","Human Consumption","20/03/2019","2019","Q1","3","20","Satisfactory","Satisfactory","1212","Satisfactory","No","-","-","-","Human Consumption","-","-","02/05/2019","2019","Q2","May","2","1100"
"06/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","United States","Fishery products","03038990","Mugil Spp","Frozen","-","/","-","-","-","No","Human Consumption","08/03/2019","2019","Q1","3","8","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","28/03/2019","2019","Q1","March","28","0"
"06/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","United States","Fishery products","03048910","Coregonus Spp","Frozen","-","/","-","-","-","No","Human Consumption","08/03/2019","2019","Q1","3","8","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","28/03/2019","2019","Q1","March","28","0"
"06/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","United States","Fishery products","03048910","Salmonidae","Frozen","-","/","-","-","-","No","Human Consumption","08/03/2019","2019","Q1","3","8","Satisfactory","Satisfactory","4681","Not Done","No","-","-","-","Human Consumption","-","-","28/03/2019","2019","Q1","March","28","1618"
"06/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","United States","Fishery products","03038990","Mugil Spp","Frozen","-","/","-","-","-","No","Human Consumption","08/03/2019","2019","Q1","3","8","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","28/03/2019","2019","Q1","March","28","0"
"06/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","United States","Fishery products","03048910","Hypophthalmichthys Molitrix","Frozen","-","/","-","-","-","No","Human Consumption","08/03/2019","2019","Q1","3","8","Satisfactory","Satisfactory","233","Not Done","No","-","-","-","Human Consumption","-","-","28/03/2019","2019","Q1","March","28","216"
"06/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","United States","Fishery products","03048990","Mugil Spp","Frozen","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","14/03/2019","2019","Q1","March","14","0"
"06/03/2019","Felixstowe, P","United Kingdom","United Kingdom","United Kingdom","United States","Fishery products","16041991","Merluccius Capensis","Frozen","-","/","-","-","-","No","Human Consumption","05/03/2019","2019","Q1","3","5","Satisfactory","Satisfactory","3419","Not Done","No","-","-","-","Human Consumption","-","-","14/03/2019","2019","Q1","March","14","3210"
"04/03/2019","Heathrow","United Kingdom","United Kingdom","United Kingdom","Australia","Bovine meat and bovine meat products","020130","Bos Taurus","Chilled","-","/","-","-","-","No","Human Consumption","03/03/2019","2019","Q1","3","3","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","05/03/2019","2019","Q1","March","5","0"
"04/03/2019","Heathrow","United Kingdom","United Kingdom","United Kingdom","Australia","Bovine meat and bovine meat products","02061095","Bos Taurus","Chilled","-","/","-","-","-","No","Human Consumption","03/03/2019","2019","Q1","3","3","Satisfactory","Satisfactory","0","Not Done","No","-","-","-","Human Consumption","-","-","05/03/2019","2019","Q1","March","5","0"
