DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2020-03-21,Heathrow,United Kingdom,New Zealand,United Kingdom,New Zealand,Honey,4090000,Apis Mellifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-03-20,2020,Q1,3,20,Satisfactory,Satisfactory,39,Not Done,No,-,-,-,Human Consumption,-,-,2020-03-23,2020,Q1,3,23,30
2020-03-29,Heathrow,United Kingdom,New Zealand,United Kingdom,New Zealand,Honey,4090000,Apis Mellifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-03-27,2020,Q1,3,27,Satisfactory,Satisfactory,169,Not Done,No,-,-,-,Human Consumption,-,-,2020-03-30,2020,Q1,3,30,135
2020-03-15,Liverpool,United Kingdom,United States,United Kingdom,United States,Milk,401,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2020-03-20,2020,Q1,3,20,Not satisfactory,Not satisfactory,337,Not Done,No,-,-,-,-,2. Destruction,1. Absence/Invalid Certificate,2020-03-24,2020,Q1,3,24,297
2020-04-01,"Felixstowe, P",United Kingdom,Philippines,United Kingdom,Philippines,Fishery products,16041319,Sardinella Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-03-31,2020,Q1,3,31,Satisfactory,Satisfactory,20160,Not Done,No,-,-,-,Human Consumption,-,-,2020-04-09,2020,Q2,4,9,19152
2020-03-01,Heathrow,United Kingdom,Ghana,United Kingdom,Ghana,Bovine meat and bovine meat products,2102090,Bovidae,Ambient,-,/,-,-,/,No,Human Consumption,2020-03-02,2020,Q1,3,2,Not satisfactory,Not satisfactory,10,Not Done,No,-,-,-,-,2. Destruction,10. Other,2020-03-02,2020,Q1,3,2,10
2020-03-01,Heathrow,United Kingdom,Ghana,United Kingdom,Ghana,Bovine meat and bovine meat products,2102090,Bovidae,Ambient,-,/,-,-,/,No,Human Consumption,2020-03-02,2020,Q1,3,2,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,2. Non Approved Country,2020-03-02,2020,Q1,3,2,0
2020-03-01,Heathrow,United Kingdom,Ghana,United Kingdom,Ghana,Bovine meat and bovine meat products,2102090,Bovidae,Ambient,-,/,-,-,/,No,Human Consumption,2020-03-02,2020,Q1,3,2,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,4. Prohibited Product,2020-03-02,2020,Q1,3,2,0
2020-03-01,Heathrow,United Kingdom,Ghana,United Kingdom,Ghana,Bovine meat and bovine meat products,2102090,Bovidae,Ambient,-,/,-,-,/,No,Human Consumption,2020-03-02,2020,Q1,3,2,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,3. Non Approved Establishment,2020-03-02,2020,Q1,3,2,0
2020-03-06,Heathrow,United Kingdom,Australia,United Kingdom,Australia,Bovine meat and bovine meat products,20120,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2020-03-06,2020,Q1,3,6,Satisfactory,Satisfactory,0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-03-06,2020,Q1,3,6,0
2020-03-06,Heathrow,United Kingdom,Australia,United Kingdom,Australia,Bovine meat and bovine meat products,20130,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2020-03-06,2020,Q1,3,6,Satisfactory,Satisfactory,1165,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-03-06,2020,Q1,3,6,1105
