YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,LaboratoryTests2,Commodity,Commodity_List,Species,Species_List,CountryOfDestination,Motivation,LaboratoryTests3,SampleDate,Results2,SampleCount,LaboratoryTestConclusion,ReleasedDate
2017,Q1,3,16,NZ,GB,Felixstowe P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,19464.5,18488.5,/,/,satisfactory,satisfactory,satisfactory,Yes,Random,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-05,2017,Q2,5,5,Yes,04090000,04090000,Apis Melifera,Apis Melifera,United Kingdom,Random,Authenticity test,2017-03-29,-25.2 ?,1,Satisfactory,2017-04-28
2017,Q1,3,16,MX,GB,Felixstowe P,GB,GB,MX,Mexico,GB,CVEDP,No,Human Consumption,26730,24000,/,/,notsatisfactory,satisfactory,satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,1. Absence/Invalid Certificate,2017-05-03,2017,Q2,5,3,-,03036619,03036619,Merluccius Spp,Merluccius Spp,United Kingdom,-,-,,-,-,-,
2017,Q1,3,21,NZ,GB,Southampton P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,13476.13,12983.71,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-03,2017,Q2,5,3,-,02044290,02044290|02044290,Ovis Aries,Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q1,3,21,NZ,GB,Southampton P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,13018.43,12556.31,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-05,2017,Q2,5,5,-,02044250,02044250|02044250|02044290,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q1,3,21,NZ,GB,Southampton P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,13018.43,12556.31,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-05,2017,Q2,5,5,-,02044290,02044250|02044250|02044290,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q1,3,23,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,7069.5,6569.98,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-02,2017,Q2,5,2,-,00020130,00020130,Bos Taurus,Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q1,3,23,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,5827.41,5433.42,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-02,2017,Q2,5,2,-,00020130,00020130,Bos Taurus,Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q1,3,23,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,8093.13,7523.37,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-02,2017,Q2,5,2,-,00020130,00020130,Bos Taurus,Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q1,3,23,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,3718.9,3457.29,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-02,2017,Q2,5,2,-,00020130,00020130,Bos Taurus,Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q1,3,24,AU,GB,London Gateway,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,17239.2,16978,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-03,2017,Q2,5,3,-,02044310,02044310,Ovis Aries,Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q1,3,27,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,9658.54,8980.85,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-02,2017,Q2,5,2,-,00020130,00020130,Bos Taurus,Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q1,3,27,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,3197.37,2974.7,/,/,satisfactory,satisfactory,satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-02,2017,Q2,5,2,-,00020130,00020130,Bos Taurus,Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q1,3,27,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,3662.24,3402.8,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-02,2017,Q2,5,2,-,00020130,00020130,Bos Taurus,Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q1,3,27,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,9239.81,8599.88,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-02,2017,Q2,5,2,-,00020130,00020130,Bos Taurus,Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q1,3,27,CN,GB,Felixstowe P,GB,GB,CN,China,GB,CVEDP,No,Human Consumption,216,200,/,/,notsatisfactory,notsatisfactory,satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,1. Absence/Invalid Certificate,2017-05-05,2017,Q2,5,5,-,29309016,29309016,/,/,United Kingdom,-,-,,-,-,-,
2017,Q1,3,29,NZ,GB,Southampton P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,23895.84,22882.8,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-12,2017,Q2,5,12,-,02044290,02044290,Ovis Aries,Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q1,3,29,NZ,GB,Southampton P,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,12561.14,12154.58,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-12,2017,Q2,5,12,-,02044290,02044290,Ovis Aries,Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q1,3,31,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,6947.78,6466.78,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-06,2017,Q2,5,6,-,00020130,00020130,Bos Taurus,Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q1,3,31,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,4872.4,4531.45,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-06,2017,Q2,5,6,-,00020130,00020130,Bos Taurus,Bos Taurus,United Kingdom,-,-,,-,-,-,
2017,Q1,3,31,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,6562.5,4200,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-05-02,2017,Q2,5,2,-,05119190,05119190,Invertebrata,Invertebrata,United Kingdom,-,-,,-,-,-,
2017,Q1,3,31,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,6562.5,4200,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-05-03,2017,Q2,5,3,-,05119190,05119190,Invertebrata,Invertebrata,United Kingdom,-,-,,-,-,-,
2017,Q1,3,31,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,6562.5,4200,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-05-02,2017,Q2,5,2,-,05119190,05119190,Invertebrata,Invertebrata,United Kingdom,-,-,,-,-,-,
2017,Q1,3,31,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,8492.4,6066,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-05-08,2017,Q2,5,8,-,05119190,05119190,Invertebrata,Invertebrata,United Kingdom,-,-,,-,-,-,
2017,Q1,3,31,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,6562.5,4200,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-05-03,2017,Q2,5,3,-,05119190,05119190,Invertebrata,Invertebrata,United Kingdom,-,-,,-,-,-,
2017,Q1,3,31,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,13650,10700,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-05-03,2017,Q2,5,3,-,00230910,00230910,-,,United Kingdom,-,-,,-,-,-,
2017,Q1,3,31,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,7503.75,4554.75,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-05-03,2017,Q2,5,3,-,00230910,00230910,-,,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,MM,GB,Felixstowe P,GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,23746.1,22155.1,/,/,satisfactory,notsatisfactory,notsatisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,5. Id: Mis-Match With Documents,2017-05-08,2017,Q2,5,8,-,03032400,03032400|03032500|03032500|03038910|03038910|03038910|03038910|03038910|03038910,Pangasius Pangasius,Amblypharyngodon Mola|Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Notopterus Notopterus|Pangasius Pangasius|Sperata Seenghala|Tenualosa Ilisha|Wallago Attu,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,MM,GB,Felixstowe P,GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,23746.1,22155.1,/,/,satisfactory,notsatisfactory,notsatisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,5. Id: Mis-Match With Documents,2017-05-08,2017,Q2,5,8,-,03032500,03032400|03032500|03032500|03038910|03038910|03038910|03038910|03038910|03038910,Cirrhinus Cirrhosus,Amblypharyngodon Mola|Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Notopterus Notopterus|Pangasius Pangasius|Sperata Seenghala|Tenualosa Ilisha|Wallago Attu,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,MM,GB,Felixstowe P,GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,23746.1,22155.1,/,/,satisfactory,notsatisfactory,notsatisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,5. Id: Mis-Match With Documents,2017-05-08,2017,Q2,5,8,-,03032500,03032400|03032500|03032500|03038910|03038910|03038910|03038910|03038910|03038910,Labeo Rohita,Amblypharyngodon Mola|Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Notopterus Notopterus|Pangasius Pangasius|Sperata Seenghala|Tenualosa Ilisha|Wallago Attu,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,MM,GB,Felixstowe P,GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,23746.1,22155.1,/,/,satisfactory,notsatisfactory,notsatisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,5. Id: Mis-Match With Documents,2017-05-08,2017,Q2,5,8,-,03038910,03032400|03032500|03032500|03038910|03038910|03038910|03038910|03038910|03038910,Amblypharyngodon Mola,Amblypharyngodon Mola|Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Notopterus Notopterus|Pangasius Pangasius|Sperata Seenghala|Tenualosa Ilisha|Wallago Attu,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,MM,GB,Felixstowe P,GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,23746.1,22155.1,/,/,satisfactory,notsatisfactory,notsatisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,5. Id: Mis-Match With Documents,2017-05-08,2017,Q2,5,8,-,03038910,03032400|03032500|03032500|03038910|03038910|03038910|03038910|03038910|03038910,Lates Calcarifer,Amblypharyngodon Mola|Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Notopterus Notopterus|Pangasius Pangasius|Sperata Seenghala|Tenualosa Ilisha|Wallago Attu,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,MM,GB,Felixstowe P,GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,23746.1,22155.1,/,/,satisfactory,notsatisfactory,notsatisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,5. Id: Mis-Match With Documents,2017-05-08,2017,Q2,5,8,-,03038910,03032400|03032500|03032500|03038910|03038910|03038910|03038910|03038910|03038910,Notopterus Notopterus,Amblypharyngodon Mola|Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Notopterus Notopterus|Pangasius Pangasius|Sperata Seenghala|Tenualosa Ilisha|Wallago Attu,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,MM,GB,Felixstowe P,GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,23746.1,22155.1,/,/,satisfactory,notsatisfactory,notsatisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,5. Id: Mis-Match With Documents,2017-05-08,2017,Q2,5,8,-,03038910,03032400|03032500|03032500|03038910|03038910|03038910|03038910|03038910|03038910,Sperata Seenghala,Amblypharyngodon Mola|Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Notopterus Notopterus|Pangasius Pangasius|Sperata Seenghala|Tenualosa Ilisha|Wallago Attu,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,MM,GB,Felixstowe P,GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,23746.1,22155.1,/,/,satisfactory,notsatisfactory,notsatisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,5. Id: Mis-Match With Documents,2017-05-08,2017,Q2,5,8,-,03038910,03032400|03032500|03032500|03038910|03038910|03038910|03038910|03038910|03038910,Tenualosa Ilisha,Amblypharyngodon Mola|Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Notopterus Notopterus|Pangasius Pangasius|Sperata Seenghala|Tenualosa Ilisha|Wallago Attu,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,MM,GB,Felixstowe P,GB,GB,MM,Myanmar,GB,CVEDP,No,Human Consumption,23746.1,22155.1,/,/,satisfactory,notsatisfactory,notsatisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,5. Id: Mis-Match With Documents,2017-05-08,2017,Q2,5,8,-,03038910,03032400|03032500|03032500|03038910|03038910|03038910|03038910|03038910|03038910,Wallago Attu,Amblypharyngodon Mola|Cirrhinus Cirrhosus|Labeo Rohita|Lates Calcarifer|Notopterus Notopterus|Pangasius Pangasius|Sperata Seenghala|Tenualosa Ilisha|Wallago Attu,United Kingdom,-,-,,-,-,-,
2017,Q2,4,3,NZ,GB,London Gateway,GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,15458.26,15028.82,/,/,satisfactory,satisfactory,notdone,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-05-03,2017,Q2,5,3,-,02044390,02044390,Ovis Aries,Ovis Aries,United Kingdom,-,-,,-,-,-,
2017,Q2,4,4,CN,GB,Felixstowe P,GB,GB,CN,China,GB,CVEDP,No,Human Consumption,1588,1430,/,/,notsatisfactory,notsatisfactory,satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2017-05-21,2017,Q2,5,21,-,00190230,00190230,-,,United Kingdom,-,-,,-,-,-,
2017,Q2,4,4,CN,GB,Felixstowe P,GB,GB,CN,China,GB,CVEDP,No,Human Consumption,1588,1430,/,/,notsatisfactory,notsatisfactory,satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,2. Non Approved Country,2017-05-21,2017,Q2,5,21,-,00190230,00190230,-,,United Kingdom,-,-,,-,-,-,
