YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2018,Q2,4,26,RU,GB,"Grimsby-Immingham, P",GB,GB,RU,Russian Federation,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-05-03,2018,Q2,5,3,3047190,03047190|03047200,Gadus Morhua,Gadus (Melanogrammus) Aeglefinus|Gadus Morhua,-
2018,Q2,4,26,RU,GB,"Grimsby-Immingham, P",GB,GB,RU,Russian Federation,GB,CVEDP,No,Human Consumption,20863,19245,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-05-03,2018,Q2,5,3,3047200,03047190|03047200,Gadus (Melanogrammus) Aeglefinus,Gadus (Melanogrammus) Aeglefinus|Gadus Morhua,-
2018,Q2,5,3,RU,GB,"Grimsby-Immingham, P",GB,GB,RU,Russian Federation,GB,CVEDP,No,Human Consumption,20004,18238,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-05-08,2018,Q2,5,8,3047190,03047190|03047200,Gadus Morhua,Gadus (Melanogrammus) Aeglefinus|Gadus Morhua,-
2018,Q2,5,3,RU,GB,"Grimsby-Immingham, P",GB,GB,RU,Russian Federation,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-05-08,2018,Q2,5,8,3047200,03047190|03047200,Gadus (Melanogrammus) Aeglefinus,Gadus (Melanogrammus) Aeglefinus|Gadus Morhua,-
2018,Q2,5,3,RU,GB,"Grimsby-Immingham, P",GB,GB,RU,Russian Federation,GB,CVEDP,No,Human Consumption,19620,18025,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-05-09,2018,Q2,5,9,3047190,03047190|03047200,Gadus Morhua,Gadus (Melanogrammus) Aeglefinus|Gadus Morhua,-
2018,Q2,5,3,RU,GB,"Grimsby-Immingham, P",GB,GB,RU,Russian Federation,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-05-09,2018,Q2,5,9,3047200,03047190|03047200,Gadus (Melanogrammus) Aeglefinus,Gadus (Melanogrammus) Aeglefinus|Gadus Morhua,-
2018,Q2,5,3,RU,GB,"Grimsby-Immingham, P",GB,GB,RU,Russian Federation,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-05-09,2018,Q2,5,9,3047190,03047190|03047200,Gadus Morhua,Gadus (Melanogrammus) Aeglefinus|Gadus Morhua,-
2018,Q2,5,3,RU,GB,"Grimsby-Immingham, P",GB,GB,RU,Russian Federation,GB,CVEDP,No,Human Consumption,20590,18900,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-05-09,2018,Q2,5,9,3047200,03047190|03047200,Gadus (Melanogrammus) Aeglefinus,Gadus (Melanogrammus) Aeglefinus|Gadus Morhua,-
2018,Q2,5,3,RU,GB,"Grimsby-Immingham, P",GB,GB,RU,Russian Federation,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-05-09,2018,Q2,5,9,3047190,03047190|03047200,Gadus Morhua,Gadus (Melanogrammus) Aeglefinus|Gadus Morhua,-
2018,Q2,5,3,RU,GB,"Grimsby-Immingham, P",GB,GB,RU,Russian Federation,GB,CVEDP,No,Human Consumption,20579,18890,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-05-09,2018,Q2,5,9,3047200,03047190|03047200,Gadus (Melanogrammus) Aeglefinus,Gadus (Melanogrammus) Aeglefinus|Gadus Morhua,-
