DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2019-01-24,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Honey,4090000,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2019-05-13,2019,Q2,5,13,Satisfactory,Satisfactory,15250,Satisfactory,Yes,Suspicion,Satisfactory,Authenticity test,Human Consumption,-,-,2019-06-13,2019,Q2,June,13,12719
2019-02-06,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Honey,4090000,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2019-05-13,2019,Q2,5,13,Satisfactory,Satisfactory,14200,Satisfactory,Yes,Suspicion,Satisfactory,Authenticity test,Human Consumption,-,-,2019-06-13,2019,Q2,June,13,11915
2019-05-13,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20120,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-05-12,2019,Q2,5,12,Satisfactory,Satisfactory,5822,Satisfactory,No,-,-,-,Human Consumption,-,-,2019-05-14,2019,Q2,May,14,5489
2019-05-13,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20130,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-05-12,2019,Q2,5,12,Satisfactory,Satisfactory,0,Satisfactory,No,-,-,-,Human Consumption,-,-,2019-05-14,2019,Q2,May,14,0
2019-05-13,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20120,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-05-12,2019,Q2,5,12,Satisfactory,Satisfactory,0,Satisfactory,No,-,-,-,Human Consumption,-,-,2019-05-14,2019,Q2,May,14,0
2019-05-13,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20130,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-05-12,2019,Q2,5,12,Satisfactory,Satisfactory,421,Satisfactory,No,-,-,-,Human Consumption,-,-,2019-05-14,2019,Q2,May,14,394
2019-05-13,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,2061095,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-05-12,2019,Q2,5,12,Satisfactory,Satisfactory,0,Satisfactory,No,-,-,-,Human Consumption,-,-,2019-05-14,2019,Q2,May,14,0
2019-05-27,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20120,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-05-24,2019,Q2,5,24,Satisfactory,Satisfactory,403,Not Done,No,-,-,-,Human Consumption,-,-,2019-05-28,2019,Q2,May,28,376
2019-05-27,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20130,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-05-24,2019,Q2,5,24,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2019-05-28,2019,Q2,May,28,0
2019-05-27,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20120,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-05-24,2019,Q2,5,24,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2019-05-28,2019,Q2,May,28,0
2019-05-27,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20130,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-05-24,2019,Q2,5,24,Satisfactory,Satisfactory,3677,Not Done,No,-,-,-,Human Consumption,-,-,2019-05-28,2019,Q2,May,28,3474
2019-05-10,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,Pakistan,Animal feed,5119110,Pesca,Ambient,-,/,-,-,/,No,Other,2019-05-14,2019,Q2,5,14,Satisfactory,Satisfactory,6300,Satisfactory,No,-,-,-,Other,-,-,2019-05-15,2019,Q2,May,15,6000
2019-06-02,Manchester,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2019-05-30,2019,Q2,5,30,Satisfactory,Satisfactory,408,Not Done,No,-,-,-,Other,-,-,2019-06-03,2019,Q2,June,3,10
2019-05-07,Manchester,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2019-05-01,2019,Q2,5,1,Satisfactory,Satisfactory,286,Not Done,No,-,-,-,Other,-,-,2019-05-07,2019,Q2,May,7,7
2019-05-17,Manchester,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2019-05-15,2019,Q2,5,15,Satisfactory,Satisfactory,367,Not Done,No,-,-,-,Other,-,-,2019-05-17,2019,Q2,May,17,8
2019-05-17,Manchester,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2019-05-15,2019,Q2,5,15,Satisfactory,Satisfactory,367,Not Done,No,-,-,-,Other,-,-,2019-05-17,2019,Q2,May,17,1
2019-05-13,Manchester,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2019-05-08,2019,Q2,5,8,Satisfactory,Satisfactory,408,Not Done,No,-,-,-,Other,-,-,2019-05-24,2019,Q2,May,24,10
2019-05-08,Heathrow,United Kingdom,United Kingdom,United Kingdom,Canada,Fishery products,3063210,Homarus Americanus,Chilled,-,/,-,-,/,No,Human Consumption,2019-05-07,2019,Q2,5,7,Satisfactory,Satisfactory,1360,Not Done,No,-,-,-,Human Consumption,-,-,2019-05-08,2019,Q2,May,8,1089
2019-05-21,Heathrow,United Kingdom,United Kingdom,United Kingdom,Canada,Fishery products,3063210,Homarus Americanus,Chilled,-,/,-,-,/,No,Human Consumption,2019-05-20,2019,Q2,5,20,Satisfactory,Satisfactory,1530,Not Done,No,-,-,-,Human Consumption,-,-,2019-05-21,2019,Q2,May,21,1225
2019-05-29,Heathrow,United Kingdom,United Kingdom,United Kingdom,Canada,Fishery products,3063210,Homarus Americanus,Chilled,-,/,-,-,/,No,Human Consumption,2019-05-29,2019,Q2,5,29,Satisfactory,Satisfactory,1530,Not Done,No,-,-,-,Human Consumption,-,-,2019-05-30,2019,Q2,May,30,1225
2019-05-22,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Ghana,Cocoa,18069070,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2019-05-24,2019,Q2,5,24,Not satisfactory,Not satisfactory,21800,Not Done,No,-,-,-,-,1. Re-Export,1. Absence/Invalid Certificate,2019-05-30,2019,Q2,May,30,10074
2019-05-22,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Ghana,Cocoa,18069070,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2019-05-24,2019,Q2,5,24,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,1. Re-Export,2. Non Approved Country,2019-05-30,2019,Q2,May,30,0
2019-05-22,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Ghana,Cocoa,18069070,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2019-05-24,2019,Q2,5,24,Not satisfactory,Not satisfactory,21800,Not Done,No,-,-,-,-,1. Re-Export,1. Absence/Invalid Certificate,2019-05-30,2019,Q2,May,30,10248
2019-05-22,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Ghana,Cocoa,18069070,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2019-05-24,2019,Q2,5,24,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,1. Re-Export,2. Non Approved Country,2019-05-30,2019,Q2,May,30,0
2019-04-27,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,Jordan,Bovine meat and bovine meat products,160250,Bos Spp,Ambient,-,/,-,-,/,No,Human Consumption,2019-05-09,2019,Q2,5,9,Not satisfactory,Not satisfactory,520,Not Satisfactory,No,-,-,-,-,2. Destruction,1. Absence/Invalid Certificate,2019-06-11,2019,Q2,June,11,461
