YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEUBIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2017,Q2,5,9,GD,GB,Gatwick,GB,GB,GD,Grenada,GB,CVEDP,No,-,28,27,/,/,Not satisfactory,Satisfactory,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,2. Non Approved Country,2017-11-06,2017,Q4,11,6,4090000,4090000,Invertebrata,Invertebrata,-
2017,Q3,9,12,NG,GB,"Tilbury, P",GB,GB,NG,Nigeria,GB,CVEDP,No,Human Consumption,21,19.2,/,/,Not satisfactory,Not satisfactory,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,10. Other,2017-11-27,2017,Q4,11,27,2103,2103|2103,-,,-
2017,Q3,9,12,NG,GB,"Tilbury, P",GB,GB,NG,Nigeria,GB,CVEDP,No,Human Consumption,21,19.2,/,/,Not satisfactory,Not satisfactory,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,2. Non Approved Country,2017-11-27,2017,Q4,11,27,2103,2103|2103,-,,-
2017,Q3,9,21,AU,GB,London Gateway,GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,13662.58,13145.44,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-07,2017,Q4,11,7,2044250,2044250,Ovis Aries,Ovis Aries,-
2017,Q3,9,21,BR,GB,London Gateway,GB,GB,BR,Brazil,GB,CVEDP,No,Human Consumption,25838.5,25005,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-10,2017,Q4,11,10,2109939,2109939,Aves,Aves,"Campylobacter (C.jejuni, C.coli)"
2017,Q3,9,21,BR,GB,London Gateway,GB,GB,BR,Brazil,GB,CVEDP,No,Human Consumption,25838.5,25005,/,/,Satisfactory,Satisfactory,Satisfactory,Yes,Random,Satisfactory,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-10,2017,Q4,11,10,2109939,2109939,Aves,Aves,Campylobacter spp (excl C. jejuni and C.coli)
2017,Q3,9,22,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,11965.94,11265.66,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-07,2017,Q4,11,7,2042230,02042230|02042250|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q3,9,22,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,11965.94,11265.66,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-07,2017,Q4,11,7,2042250,02042230|02042250|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q3,9,22,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,11965.94,11265.66,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-07,2017,Q4,11,7,2042300,02042230|02042250|02042300,Ovis Aries,Ovis Aries|Ovis Aries|Ovis Aries,-
2017,Q3,9,27,BR,GB,London Gateway,NL,NL,BR,Brazil,GB,CVEDP,No,Human Consumption,25148.7,23865,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-11-02,2017,Q4,11,2,2109939,2109939,Aves,Aves,-
