DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2020-11-18,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Honey,4090000,Apis Mellifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-11-18,2020,Q4,11,18,Satisfactory,Satisfactory,450,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-12-05,2020,Q4,12,5,378
2020-11-07,Heathrow,United Kingdom,United Kingdom,United Kingdom,New Zealand,Honey,4090000,Apis Mellifera,Ambient,-,/,-,-,/,No,Human Consumption,2020-11-04,2020,Q4,11,4,Satisfactory,Satisfactory,113,Not Done,No,-,-,-,Human Consumption,-,-,2020-11-09,2020,Q4,11,9,90
2020-11-09,"Felixstowe, P",United Kingdom,United Kingdom,United Kingdom,Philippines,Fishery products,16041319,Sardinella Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-11-23,2020,Q4,11,23,Satisfactory,Satisfactory,20160,Not Done,No,-,-,-,Human Consumption,-,-,2020-11-25,2020,Q4,11,25,19152
2020-11-02,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20130,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2020-11-02,2020,Q4,11,2,Satisfactory,Satisfactory,1105,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-11-02,2020,Q4,11,2,1045
2020-11-02,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20120,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2020-11-02,2020,Q4,11,2,Satisfactory,Satisfactory,0,Satisfactory,No,-,-,-,Human Consumption,-,-,2020-11-02,2020,Q4,11,2,0
2020-11-23,"Southampton, P",United Kingdom,United Kingdom,United Kingdom,Thailand,Miscellaneous edible preparations,21039090,Stolephorus Spp,Ambient,-,/,-,-,/,No,Human Consumption,2020-11-10,2020,Q4,11,10,Satisfactory,Satisfactory,5392,Not Done,No,-,-,-,Human Consumption,-,-,2020-12-02,2020,Q4,12,2,4906
2020-11-03,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-11-02,2020,Q4,11,2,Satisfactory,Satisfactory,245,Not Done,No,-,-,-,Other,-,-,2020-11-04,2020,Q4,11,4,1
2020-11-09,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-11-05,2020,Q4,11,5,Satisfactory,Satisfactory,204,Not Done,No,-,-,-,Other,-,-,2020-11-09,2020,Q4,11,9,1
2020-11-16,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-11-13,2020,Q4,11,13,Satisfactory,Satisfactory,245,Not Done,No,-,-,-,Other,-,-,2020-11-16,2020,Q4,11,16,1
2020-11-29,Heathrow,United Kingdom,United Kingdom,United Kingdom,United States,Semen,5111000,Bos Taurus,-,-,/,-,-,/,No,Other,2020-11-25,2020,Q4,11,25,Satisfactory,Satisfactory,245,Not Done,No,-,-,-,Other,-,-,2020-11-30,2020,Q4,11,30,1
