YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEUBIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2017,Q1,2,3,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,10998.33,8918.33,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-17,2017,Q4,10,17,230910,230910|42050090,Ungulates,Artiodactyla - Suidae|Ungulates,-
2017,Q1,2,3,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,10998.33,8918.33,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-17,2017,Q4,10,17,42050090,230910|42050090,Artiodactyla - Suidae,Artiodactyla - Suidae|Ungulates,-
2017,Q3,8,11,CN,GB,"Felixstowe, P",GB,GB,CN,China,GB,CVEDP,No,Human Consumption,19872,18576,/,/,Satisfactory,Not satisfactory,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,6. Id: Health Mark Error,2017-10-20,2017,Q4,10,20,21069092,21069092,Pesca,Pesca,-
2017,Q3,8,14,BR,GB,London Gateway,IE,IE,BR,Brazil,GB,CVEDP,No,Human Consumption,25838.5,25005,/,/,Not satisfactory,Not satisfactory,Satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,10. Other,2017-10-09,2017,Q4,10,9,2109939,2109939,Aves,Aves,-
2017,Q3,8,24,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,15175.34,14436.36,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-02,2017,Q4,10,2,2042250,02042250|02042300,Ovis Aries,Ovis Aries|Ovis Aries,-
2017,Q3,8,24,AU,GB,"Felixstowe, P",GB,GB,AU,Australia,GB,CVEDP,No,Human Consumption,15175.34,14436.36,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-02,2017,Q4,10,2,2042300,02042250|02042300,Ovis Aries,Ovis Aries|Ovis Aries,-
2017,Q3,8,27,NZ,GB,Heathrow,/,/,NZ,New Zealand,/,CVEDP,No,-,51.75,49.39,/,GB,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,GBLGW4,/,/,Bermuda,Gatwick,GBLGW4,-,-,-,-,2017-10-03,2017,Q4,10,3,401,401,Bos Taurus,Bos Taurus,-
2017,Q3,8,29,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,17496.6,13523.33,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-05,2017,Q4,10,5,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q3,8,29,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,17496.6,13523.33,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-05,2017,Q4,10,5,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q3,8,29,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,17938.2,11894.4,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-05,2017,Q4,10,5,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q3,8,29,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,17938.2,11894.4,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-05,2017,Q4,10,5,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q3,8,30,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,9108.87,8475.73,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-03,2017,Q4,10,3,20130,20130,Bos Taurus,Bos Taurus,-
2017,Q3,8,30,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,3284.62,3046.85,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-03,2017,Q4,10,3,20130,20130,Bos Taurus,Bos Taurus,-
2017,Q3,8,30,US,GB,"Southampton, P",GB,GB,US,United States,GB,CVEDP,No,Human Consumption,117443,108864,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-04,2017,Q4,10,4,3048100,3048100,Oncorhynchus Nerka,Oncorhynchus Nerka,-
2017,Q3,8,30,BR,GB,London Gateway,GB,GB,BR,Brazil,GB,CVEDP,No,Human Consumption,28414.85,27007.2,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-07,2017,Q4,10,7,20714,20714,Gallus Gallus,Gallus Gallus,-
2017,Q3,8,31,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,6422.5,4200,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-05,2017,Q4,10,5,5119190,5119190,Invertebrata,Invertebrata,-
2017,Q3,9,1,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,2589,2408.81,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-11,2017,Q4,10,11,20130,20130,Bos Taurus,Bos Taurus,-
2017,Q3,9,1,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,9245.41,8602.84,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-11,2017,Q4,10,11,20130,20130,Bos Taurus,Bos Taurus,-
2017,Q3,9,1,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,9282.06,8633.85,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-11,2017,Q4,10,11,20130,20130,Bos Taurus,Bos Taurus,-
2017,Q3,9,1,PY,GB,London Gateway,GB,GB,PY,Paraguay,GB,CVEDP,No,Human Consumption,2535.12,2357.99,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-11,2017,Q4,10,11,20130,20130,Bos Taurus,Bos Taurus,-
2017,Q3,9,1,NZ,GB,"Southampton, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,19510.3,18465.2,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-11,2017,Q4,10,11,3047950,03047950|03048990|03048990|03048990,Macruronus Novaezelandiae,Hoplostethus Atlanticus|Hoplostethus Atlanticus|Hoplostethus Atlanticus|Macruronus Novaezelandiae,-
2017,Q3,9,1,NZ,GB,"Southampton, P",GB,GB,NZ,New Zealand,GB,CVEDP,No,Human Consumption,19510.3,18465.2,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-10-11,2017,Q4,10,11,3048990,03047950|03048990|03048990|03048990,Hoplostethus Atlanticus,Hoplostethus Atlanticus|Hoplostethus Atlanticus|Hoplostethus Atlanticus|Macruronus Novaezelandiae,-
2017,Q3,9,1,US,GB,Stansted,GB,GB,US,United States,GB,CVEDP,No,Animal Feedingstuff,4.5,4.5,/,/,Not satisfactory,Satisfactory,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,1. Absence/Invalid Certificate,2017-10-13,2017,Q4,10,13,230910,230910,Ungulates,Ungulates,-
2017,Q3,9,4,BR,GB,London Gateway,GB,GB,BR,Brazil,GB,CVEDP,No,Human Consumption,25838.5,25005,/,/,Not satisfactory,/,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,1. Re-Export,1. Absence/Invalid Certificate,2017-10-30,2017,Q4,10,30,2109939,2109939,Aves,Aves,-
2017,Q3,9,5,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,14762,11562,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-05,2017,Q4,10,5,42050090,42050090,Artiodactyla - Suidae,Artiodactyla - Suidae,-
2017,Q3,9,5,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,11214,8720,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-05,2017,Q4,10,5,42050090,42050090,Artiodactyla - Suidae,Artiodactyla - Suidae,-
2017,Q3,9,5,CN,GB,Liverpool,GB,GB,CN,China,GB,CVEDP,No,Animal Feedingstuff,9018,6801,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-05,2017,Q4,10,5,42050090,42050090,Artiodactyla - Suidae,Artiodactyla - Suidae,-
2017,Q3,9,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,17334.4,13301.18,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-09,2017,Q4,10,9,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q3,9,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,17334.4,13301.18,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-09,2017,Q4,10,9,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q3,9,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,18106.56,12250.56,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-09,2017,Q4,10,9,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q3,9,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,18106.56,12250.56,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-09,2017,Q4,10,9,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q3,9,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,17460,13478.4,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-09,2017,Q4,10,9,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q3,9,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,17460,13478.4,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-09,2017,Q4,10,9,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q3,9,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,10187.6,6648,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q3,9,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,10187.6,6648,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q3,9,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,6325,4200,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910,Aves,Aves,-
2017,Q3,9,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,7635,5022,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q3,9,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,7635,5022,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-10-10,2017,Q4,10,10,230910,230910|230910,Pesca,Aves|Pesca,-
