YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEU_BIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2018,Q4,10,24,TR,GB,"Felixstowe, P",GB,GB,TR,TR,GB,CVEDP,No,Human Consumption,9653,8529,/,/,Not satisfactory,Not satisfactory,Satisfactory,No,-,-,-,/,-,/,-,/,/,-,-,1. Re-Export,1. Absence/Invalid Certificate,2018-11-19,2018,Q4,11,19,40299,40299,Bos Taurus,Bos Taurus,-
2018,Q4,10,4,NZ,GB,Manchester,GB,GB,NZ,NZ,GB,CVEDP,No,Human Consumption,210,200,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-04,2018,Q4,10,4,3073980,3073980,Perna Spp,Perna Spp,-
2018,Q4,10,23,US,GB,Stansted,GB,GB,US,US,GB,CVEDP,No,Other,2,1,/,/,Not satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2018-10-23,2018,Q4,10,23,5119985,5119985,-,,-
2018,Q4,10,30,US,GB,Stansted,GB,GB,US,US,GB,CVEDP,No,Other,1,1,/,/,Not satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,-,-,2. Destruction,1. Absence/Invalid Certificate,2018-10-31,2018,Q4,10,31,5119985,5119985,-,,-
2018,Q4,10,14,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,486,451,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-16,2018,Q4,10,16,20130,20130,Bos Taurus,Bos Taurus,-
2018,Q4,10,14,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,152,142,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-16,2018,Q4,10,16,20130,20130,Bos Taurus,Bos Taurus,-
2018,Q4,10,15,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-16,2018,Q4,10,16,20120,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q4,10,15,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,5278,4993,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-16,2018,Q4,10,16,20130,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q4,10,28,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,0,0,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-30,2018,Q4,10,30,20120,020120|020130,Bos Taurus,Bos Taurus,-
2018,Q4,10,28,AU,GB,Heathrow,GB,GB,AU,AU,GB,CVEDP,No,Human Consumption,6379,6029,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,-,/,-,/,-,/,/,Human Consumption,-,-,-,2018-10-30,2018,Q4,10,30,20130,020120|020130,Bos Taurus,Bos Taurus,-
