DateOfArrivalAtBIP,BorderInspectionPost,EntryBIPCountry,ConsigneeCountry,ImporterCountry,CountryofOrigin,CommodityGroup,CommodityCode,Species,Temperature,TranshipmentBIPCountry,TranshipmentBIP,TranshipmentTo3rdCountry,To3rdCountry,TransitExitBIP,ForReImport,ForInternalMarket,DateofDeclaration,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DocumentaryCheck,IdentityCheck,TotalGrossWeightKg,PhysicalCheck,LaboratoryTestsPerformed,LaboratoryTestsMotivation,LaboratoryTestConclusion,LaboratoryTestTranslation,AcceptableforInternal Market,Notacceptable,RefusalReasonCodeList,DateofDecision,YearofDecision,QuarterofDecision,MonthofDecision,DayofDecision,TotalNetWeightkg
2019-09-26,"Tilbury, P",United Kingdom,United Kingdom,United Kingdom,New Zealand,Honey,4090000,Apis Melifera,Ambient,-,/,-,-,/,No,Human Consumption,2019-10-01,2019,Q4,10,1,Satisfactory,Satisfactory,32,Not Done,No,-,-,-,Human Consumption,-,-,2019-10-05,2019,Q4,October,5,28
2019-10-23,Heathrow,United Kingdom,United Kingdom,United Kingdom,New Zealand,Honey,4090000,Apis Mellifera,Ambient,-,/,-,-,/,No,Human Consumption,2019-10-24,2019,Q4,10,24,Satisfactory,Satisfactory,158,Satisfactory,No,-,-,-,Human Consumption,-,-,2019-10-24,2019,Q4,October,24,139
2019-10-18,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Miscellaneous edible preparations,21069098,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2019-10-19,2019,Q4,10,19,-,-,20,-,-,-,-,-,-,-,-,,2019,Q4,,,20
2019-10-15,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Miscellaneous edible preparations,21069098,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2019-10-21,2019,Q4,10,21,Not satisfactory,Not satisfactory,20,Not Done,No,-,-,-,-,2. Destruction,10. Other,2019-10-21,2019,Q4,October,21,20
2019-10-15,Heathrow,United Kingdom,United Kingdom,United Kingdom,Ghana,Miscellaneous edible preparations,21069098,Bos Taurus,Ambient,-,/,-,-,/,No,Human Consumption,2019-10-21,2019,Q4,10,21,Not satisfactory,Not satisfactory,0,Not Done,No,-,-,-,-,2. Destruction,1. Absence/Invalid Certificate,2019-10-21,2019,Q4,October,21,0
2019-10-02,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20120,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-10-01,2019,Q4,10,1,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2019-10-02,2019,Q4,October,2,0
2019-10-02,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20130,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-10-01,2019,Q4,10,1,Satisfactory,Satisfactory,175,Not Done,No,-,-,-,Human Consumption,-,-,2019-10-02,2019,Q4,October,2,161
2019-10-02,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20120,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-10-01,2019,Q4,10,1,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2019-10-02,2019,Q4,October,2,0
2019-10-02,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20130,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-10-01,2019,Q4,10,1,Satisfactory,Satisfactory,1173,Not Done,No,-,-,-,Human Consumption,-,-,2019-10-02,2019,Q4,October,2,1104
2019-10-29,Heathrow,United Kingdom,United Kingdom,United Kingdom,Australia,Bovine meat and bovine meat products,20120,Bos Taurus,Chilled,-,/,-,-,/,No,Human Consumption,2019-10-30,2019,Q4,10,30,Satisfactory,Satisfactory,0,Not Done,No,-,-,-,Human Consumption,-,-,2019-10-30,2019,Q4,October,30,0
